time	p_mean	p_min	p_max	p_stddev	t_mean	t_min	t_max	t_stddev	h_mean	h_min	h_max	h_stddev	o_mean	o_min	o_max	o_stddev
2023-04-08T18:04:00.000Z	961.1	961.1	961.11	0.061	25.990000000000002	25.98	25.990000000000002	0	34.61	34.5	34.7	0.059000000000000004	27.02	26.13	27.69	0.737
2023-04-08T18:05:00.000Z	961.12	961.1	961.12	0.109	25.990000000000002	25.990000000000002	26	0.003	34.59	34.35	34.84	0.10200000000000001	27.3	26.63	27.650000000000002	0.402
2023-04-08T18:06:00.000Z	961.13	961.12	961.14	0	26	26	26	0	34.64	34.38	34.86	0.101	26.94	26.25	27.54	0.5730000000000001
2023-04-08T18:07:00.000Z	961.14	961.13	961.14	0	26.01	26	26.01	0.004	34.730000000000004	34.59	34.94	0.073	26.72	25.93	27.580000000000002	0.6990000000000001
2023-04-08T18:08:00.000Z	961.14	961.13	961.14	0.128	26.01	26.01	26.01	0.001	34.69	34.480000000000004	34.92	0.10400000000000001	27.46	27.41	27.48	0.026000000000000002
2023-04-08T18:09:00.000Z	961.15	961.14	961.16	0	26	26	26.01	0.005	34.65	34.58	34.83	0.06	28.330000000000002	27.650000000000002	29.03	0.546
2023-04-08T18:10:00.000Z	961.1700000000001	961.16	961.1700000000001	0	26	26	26	0	34.65	34.4	34.79	0.082	27.54	27.53	27.580000000000002	0.018000000000000002
2023-04-08T18:11:00.000Z	961.1700000000001	961.16	961.1700000000001	0.068	26	26	26	0	34.59	34.34	34.78	0.107	27.53	27.53	27.53	0
2023-04-08T18:12:00.000Z	961.1800000000001	961.1800000000001	961.19	0.055	26	26	26	0	34.64	34.53	34.77	0.056	27.53	27.53	27.53	0
2023-04-08T18:13:00.000Z	961.19	961.19	961.2	0.147	26	26	26	0	34.76	34.52	35.13	0.166	27.53	27.53	27.53	0
2023-04-08T18:14:00.000Z	961.21	961.2	961.22	0.13	26.01	26	26.01	0	34.75	34.62	35	0.098	26.66	25.47	27.53	0.789
2023-04-08T18:15:00.000Z	961.21	961.21	961.22	0.079	26.01	26.01	26.01	0	34.87	34.81	34.99	0.049	27.400000000000002	27.36	27.42	0.021
2023-04-08T18:16:00.000Z	961.24	961.22	961.24	0.132	26.01	26.01	26.01	0	34.78	34.54	34.87	0.074	27.39	27.38	27.400000000000002	0.01
2023-04-08T18:17:00.000Z	961.24	961.23	961.25	0	26.01	26.01	26.01	0	34.82	34.67	34.95	0.073	27.36	27.35	27.37	0.01
2023-04-08T18:18:00.000Z	961.26	961.25	961.26	0	26.01	26.01	26.01	0	34.78	34.52	34.89	0.111	27.330000000000002	27.32	27.34	0.009000000000000001
2023-04-08T18:19:00.000Z	961.26	961.26	961.27	0.162	26.01	26.01	26.01	0	34.96	34.82	35.14	0.089	27.34	26.91	28.19	0.451
2023-04-08T18:20:00.000Z	961.27	961.27	961.28	0	26	26	26	0.006	34.910000000000004	34.57	35.1	0.108	28.11	27.52	28.98	0.508
2023-04-08T18:21:00.000Z	961.28	961.27	961.28	0.10300000000000001	25.990000000000002	25.990000000000002	26	0.007	34.86	34.54	35.02	0.107	28.080000000000002	27.36	28.98	0.771
2023-04-08T18:22:00.000Z	961.28	961.27	961.28	0	25.990000000000002	25.990000000000002	25.990000000000002	0	34.93	34.71	35.07	0.074	27.61	27.47	27.98	0.198
2023-04-08T18:23:00.000Z	961.28	961.28	961.29	0.157	25.98	25.98	25.990000000000002	0.005	34.980000000000004	34.78	35.1	0.065	28.22	27.48	29.26	0.844
2023-04-08T18:24:00.000Z	961.29	961.29	961.3	0	25.98	25.98	25.990000000000002	0	34.980000000000004	34.82	35.09	0.064	27.59	26.7	28.060000000000002	0.462
2023-04-08T18:25:00.000Z	961.29	961.29	961.3	0.176	25.990000000000002	25.98	25.990000000000002	0.005	35.01	34.83	35.17	0.07200000000000001	26.96	26.43	27.48	0.43
2023-04-08T18:26:00.000Z	961.29	961.29	961.29	0	25.990000000000002	25.990000000000002	25.990000000000002	0.002	35.09	34.980000000000004	35.26	0.054	27.62	27.560000000000002	27.64	0.029
2023-04-08T18:27:00.000Z	961.3	961.29	961.3	0	26	25.990000000000002	26	0.003	35.06	34.81	35.18	0.09	26.76	26.07	27.45	0.551
2023-04-08T18:28:00.000Z	961.31	961.3	961.31	0	25.990000000000002	25.990000000000002	26	0.005	35.1	35.01	35.21	0.05	28.16	27.52	29.64	0.9470000000000001
2023-04-08T18:29:00.000Z	961.3199999999999	961.31	961.3199999999999	0.127	25.990000000000002	25.990000000000002	25.990000000000002	0	35.14	34.99	35.22	0.053	27.91	27.68	28.48	0.309
2023-04-08T18:30:00.000Z	961.3199999999999	961.31	961.3199999999999	0	26	26	26	0	35.050000000000004	34.85	35.19	0.07100000000000001	26.810000000000002	26.07	27.51	0.601
2023-04-08T18:31:00.000Z	961.3199999999999	961.3199999999999	961.3199999999999	0	26	26	26	0	35.09	34.96	35.25	0.075	27.6	27.57	27.61	0.016
2023-04-08T18:32:00.000Z	961.3199999999999	961.3199999999999	961.33	0	26	26	26	0	35.1	35	35.25	0.061	27.61	27.61	27.61	0.003
2023-04-08T18:33:00.000Z	961.33	961.33	961.33	0	26.01	26	26.01	0.005	35.12	34.96	35.22	0.064	26.97	26.19	27.61	0.716
2023-04-08T18:34:00.000Z	961.33	961.33	961.34	0.111	26.01	26.01	26.01	0.005	35.160000000000004	35.06	35.29	0.064	27.3	26.810000000000002	27.5	0.269
2023-04-08T18:35:00.000Z	961.33	961.33	961.34	0	26.01	26.01	26.01	0	35.09	34.97	35.19	0.055	27.48	27.47	27.490000000000002	0.009000000000000001
2023-04-08T18:36:00.000Z	961.35	961.34	961.35	0	26	26	26.01	0.004	35.15	34.97	35.34	0.097	28.05	27.45	29.51	0.931
2023-04-08T18:37:00.000Z	961.36	961.35	961.36	0.029	26.01	26	26.01	0.005	35.31	35.160000000000004	35.6	0.133	27.02	25.82	28.34	1.1
2023-04-08T18:38:00.000Z	961.36	961.36	961.36	0	26.01	26.01	26.01	0	35.24	35.11	35.4	0.075	27.3	27.02	27.41	0.151
2023-04-08T18:39:00.000Z	961.36	961.36	961.37	0	26.01	26.01	26.01	0	35.2	34.88	35.410000000000004	0.114	27.39	27.37	27.400000000000002	0.009000000000000001
2023-04-08T18:40:00.000Z	961.37	961.36	961.38	0.14400000000000002	26.01	26.01	26.02	0	35.27	35.15	35.38	0.055	27.36	27.34	27.37	0.008
2023-04-08T18:41:00.000Z	961.39	961.38	961.4	0	26.02	26.02	26.02	0.006	35.21	35.01	35.38	0.111	26.42	25.240000000000002	27.150000000000002	0.757
2023-04-08T18:42:00.000Z	961.41	961.4	961.4200000000001	0.108	26.02	26.02	26.02	0	35.33	35.26	35.39	0.03	27.17	27.150000000000002	27.19	0.015
2023-04-08T18:43:00.000Z	961.41	961.41	961.4200000000001	0.11800000000000001	26.02	26.02	26.02	0.005	35.37	35.24	35.65	0.109	27.1	26.35	27.47	0.386
2023-04-08T18:44:00.000Z	961.4200000000001	961.41	961.4300000000001	0.077	26.02	26.02	26.02	0	35.29	35.12	35.45	0.076	27.060000000000002	27.03	27.12	0.034
2023-04-08T18:45:00.000Z	961.4300000000001	961.4200000000001	961.4300000000001	0	26.02	26.02	26.02	0	35.35	35.230000000000004	35.57	0.092	26.990000000000002	26.97	27.02	0.019
2023-04-08T18:46:00.000Z	961.44	961.4300000000001	961.44	0.131	26.02	26.01	26.02	0.002	35.32	35.15	35.54	0.088	27.11	26.92	27.94	0.40900000000000003
