time	p_mean	p_min	p_max	p_stddev	t_mean	t_min	t_max	t_stddev	h_mean	h_min	h_max	h_stddev	o_mean	o_min	o_max	o_stddev
2023-04-09T17:03:30.000Z	960.44	960.44	960.44	0.001	26.21	26.2	26.21	0.003	29.75	29.72	29.78	0.019	19.21	19.21	19.21	0
2023-04-09T17:03:45.000Z	960.44	960.44	960.44	0.002	26.2	26.19	26.2	0.004	29.84	29.76	29.93	0.07	18.73	18.41	19.05	0.46
2023-04-09T17:04:00.000Z	960.44	960.4300000000001	960.44	0.002	26.18	26.18	26.19	0.002	29.92	29.76	30.05	0.106	19.63	19.63	19.63	0
2023-04-09T17:04:15.000Z	960.45	960.44	960.45	0.003	26.18	26.17	26.18	0.003	29.78	29.69	29.88	0.062	18.7	18.650000000000002	18.75	0.076
2023-04-09T17:04:30.000Z	960.46	960.45	960.46	0.002	26.17	26.17	26.17	0.001	29.97	29.900000000000002	30.03	0.047	17.38	17.38	17.38	0
2023-04-09T17:04:45.000Z	960.45	960.45	960.46	0.002	26.17	26.17	26.17	0.002	29.98	29.96	30.02	0.019	16.490000000000002	16.330000000000002	16.66	0.234
2023-04-09T17:05:00.000Z	960.45	960.44	960.45	0.002	26.16	26.16	26.16	0.001	29.93	29.88	29.96	0.026000000000000002	17.39	17.39	17.39	0
2023-04-09T17:05:15.000Z	960.44	960.44	960.44	0.001	26.16	26.16	26.16	0	29.86	29.84	29.89	0.018000000000000002	16.15	15.780000000000001	16.51	0.514
2023-04-09T17:05:30.000Z	960.4300000000001	960.4300000000001	960.44	0.003	26.150000000000002	26.150000000000002	26.16	0.002	29.85	29.79	29.88	0.029	17.12	17.12	17.12	0
2023-04-09T17:05:45.000Z	960.4200000000001	960.4200000000001	960.4300000000001	0.002	26.150000000000002	26.14	26.150000000000002	0.003	29.86	29.85	29.89	0.017	17.6	17.06	18.13	0.757
2023-04-09T17:06:00.000Z	960.4200000000001	960.4200000000001	960.4200000000001	0.001	26.13	26.13	26.14	0.003	29.84	29.77	29.94	0.052000000000000005	18.92	18.92	18.92	0
2023-04-09T17:06:15.000Z	960.4200000000001	960.4200000000001	960.4300000000001	0.002	26.12	26.12	26.13	0.004	29.900000000000002	29.87	29.95	0.028	18.900000000000002	18.84	18.97	0.092
2023-04-09T17:06:30.000Z	960.4300000000001	960.4300000000001	960.4300000000001	0.001	26.11	26.1	26.11	0.004	30.02	29.92	30.18	0.082	19.06	19.06	19.06	0
2023-04-09T17:06:45.000Z	960.4300000000001	960.4300000000001	960.4300000000001	0.001	26.1	26.09	26.1	0.004	29.900000000000002	29.87	29.95	0.024	18.97	18.92	19.01	0.065
2023-04-09T17:07:00.000Z	960.4200000000001	960.4200000000001	960.4200000000001	0.001	26.09	26.080000000000002	26.09	0.004	29.89	29.86	29.94	0.027	19.1	19.1	19.1	0
2023-04-09T17:07:15.000Z	960.4200000000001	960.4200000000001	960.4200000000001	0.001	26.07	26.05	26.080000000000002	0.008	29.990000000000002	29.88	30.12	0.08	20.72	19.79	21.650000000000002	1.315
2023-04-09T17:07:30.000Z	960.4200000000001	960.4200000000001	960.4200000000001	0.002	26.04	26.04	26.05	0.006	30	29.93	30.080000000000002	0.053	23.3	23.3	23.3	0
2023-04-09T17:07:45.000Z	960.4200000000001	960.4200000000001	960.4200000000001	0.001	26.03	26.02	26.03	0.004	29.86	29.8	29.91	0.039	21.16	20.57	21.75	0.836
2023-04-09T17:08:00.000Z	960.4200000000001	960.4200000000001	960.4300000000001	0.003	26.02	26.02	26.02	0.001	29.84	29.77	29.92	0.048	18.42	18.42	18.42	0
2023-04-09T17:08:15.000Z	960.4300000000001	960.4300000000001	960.4300000000001	0	26.02	26.02	26.02	0	29.82	29.740000000000002	29.900000000000002	0.045	16.46	16.06	16.85	0.5630000000000001
2023-04-09T17:08:30.000Z	960.4300000000001	960.4300000000001	960.4300000000001	0	26.02	26.02	26.02	0	29.78	29.64	29.91	0.083	15.700000000000001	15.700000000000001	15.700000000000001	0
2023-04-09T17:08:45.000Z	960.4200000000001	960.4200000000001	960.4300000000001	0.002	26.02	26.01	26.02	0.002	30.02	29.93	30.1	0.057	15.98	15.55	16.42	0.619
2023-04-09T17:09:00.000Z	960.4200000000001	960.4200000000001	960.4300000000001	0	26.01	26.01	26.01	0.001	29.98	29.93	30.05	0.049	17.35	17.35	17.35	0
2023-04-09T17:09:15.000Z	960.4200000000001	960.4200000000001	960.4200000000001	0.001	26.01	26	26.01	0.003	29.96	29.900000000000002	30.03	0.045	16.85	16.7	17	0.216
2023-04-09T17:09:30.000Z	960.4200000000001	960.4200000000001	960.4200000000001	0.001	26	26	26	0.001	29.900000000000002	29.87	29.94	0.026000000000000002	17.71	17.71	17.71	0
2023-04-09T17:09:45.000Z	960.4200000000001	960.4200000000001	960.4200000000001	0.001	26	26	26	0	29.88	29.85	29.91	0.022	16.52	16.19	16.86	0.47400000000000003
2023-04-09T17:10:00.000Z	960.4200000000001	960.4200000000001	960.4200000000001	0	26	26	26	0	29.69	29.54	29.88	0.138	15.84	15.84	15.84	0
2023-04-09T17:10:15.000Z	960.4200000000001	960.4200000000001	960.4200000000001	0	26	26	26	0.001	29.78	29.75	29.810000000000002	0.019	15.75	15.68	15.82	0.1
2023-04-09T17:10:30.000Z	960.4200000000001	960.4200000000001	960.4200000000001	0.002	25.990000000000002	25.990000000000002	26	0.001	29.86	29.82	29.96	0.046	17.54	17.54	17.54	0
2023-04-09T17:10:45.000Z	960.4300000000001	960.4200000000001	960.4300000000001	0.001	25.990000000000002	25.98	25.990000000000002	0.003	29.91	29.8	29.98	0.059000000000000004	17.26	17.16	17.36	0.14400000000000002
2023-04-09T17:11:00.000Z	960.4300000000001	960.4300000000001	960.4300000000001	0	25.98	25.98	25.98	0.003	29.79	29.73	29.830000000000002	0.034	17.98	17.98	17.98	0
2023-04-09T17:11:15.000Z	960.4300000000001	960.4300000000001	960.4300000000001	0.001	25.97	25.97	25.97	0.004	29.86	29.84	29.89	0.017	18.94	18.830000000000002	19.04	0.146
2023-04-09T17:11:30.000Z	960.4200000000001	960.4200000000001	960.4300000000001	0.001	25.96	25.95	25.96	0.004	29.91	29.82	30.05	0.075	19.52	19.52	19.52	0
2023-04-09T17:11:45.000Z	960.4200000000001	960.4200000000001	960.4300000000001	0.001	25.95	25.94	25.95	0.004	30.07	30	30.17	0.054	19.59	19.52	19.67	0.10300000000000001
2023-04-09T17:12:00.000Z	960.4200000000001	960.4200000000001	960.4200000000001	0.001	25.94	25.94	25.94	0.001	29.98	29.900000000000002	30.11	0.076	18.95	18.95	18.95	0
2023-04-09T17:12:15.000Z	960.4200000000001	960.4200000000001	960.4300000000001	0.002	25.93	25.93	25.94	0.002	29.830000000000002	29.78	29.89	0.035	18.72	18.580000000000002	18.85	0.193
2023-04-09T17:12:30.000Z	960.4300000000001	960.4300000000001	960.4300000000001	0.001	25.93	25.93	25.93	0	29.91	29.830000000000002	29.990000000000002	0.05	17.8	17.8	17.8	0
2023-04-09T17:12:45.000Z	960.4300000000001	960.4300000000001	960.44	0.002	25.93	25.93	25.93	0	29.89	29.830000000000002	29.94	0.035	16.89	16.71	17.06	0.251
2023-04-09T17:13:00.000Z	960.44	960.4300000000001	960.44	0.002	25.93	25.93	25.93	0	29.72	29.57	29.810000000000002	0.09	16.57	16.57	16.57	0
2023-04-09T17:13:15.000Z	960.4300000000001	960.4300000000001	960.44	0.001	25.93	25.92	25.93	0.003	29.47	29.43	29.5	0.026000000000000002	17.41	16.53	18.29	1.243
2023-04-09T17:13:30.000Z	960.44	960.44	960.44	0.001	25.92	25.91	25.92	0.004	29.32	29.240000000000002	29.42	0.059000000000000004	19.62	19.62	19.62	0
2023-04-09T17:13:45.000Z	960.44	960.44	960.44	0.002	25.900000000000002	25.89	25.91	0.006	29.19	29.02	29.36	0.114	21.580000000000002	20.77	22.39	1.1420000000000001
2023-04-09T17:14:00.000Z	960.45	960.44	960.46	0.005	25.88	25.86	25.89	0.009000000000000001	29.09	29.07	29.13	0.019	23.89	23.89	23.89	0
2023-04-09T17:14:15.000Z	960.46	960.46	960.47	0.003	25.85	25.84	25.86	0.009000000000000001	29.1	29.060000000000002	29.13	0.023	26.07	25.490000000000002	26.650000000000002	0.8160000000000001
2023-04-09T17:14:30.000Z	960.47	960.47	960.47	0.001	25.810000000000002	25.79	25.830000000000002	0.015	28.85	28.71	29.07	0.156	28.59	28.59	28.59	0
2023-04-09T17:14:45.000Z	960.46	960.46	960.47	0.002	25.77	25.75	25.79	0.013000000000000001	28.6	28.490000000000002	28.68	0.064	32.49	31.89	33.09	0.852
2023-04-09T17:15:00.000Z	960.46	960.46	960.46	0.001	25.73	25.71	25.75	0.012	28.61	28.54	28.68	0.049	31.91	31.91	31.91	0
2023-04-09T17:15:15.000Z	960.47	960.46	960.47	0.003	25.7	25.68	25.71	0.009000000000000001	28.71	28.650000000000002	28.77	0.05	31.04	30.650000000000002	31.42	0.539
2023-04-09T17:15:30.000Z	960.47	960.47	960.48	0.003	25.67	25.650000000000002	25.68	0.009000000000000001	28.650000000000002	28.560000000000002	28.75	0.079	29.88	29.88	29.88	0
