time	p_mean	p_min	p_max	p_stddev	t_mean	t_min	t_max	t_stddev	h_mean	h_min	h_max	h_stddev	o_mean	o_min	o_max	o_stddev
2023-03-10T18:15:00.000Z	943.39	943.28	943.53	0	25.990000000000002	25.98	26.01	0.008	37.67	37.43	37.87	0.076	27.27	25.14	29.240000000000002	0.871
2023-03-10T18:30:00.000Z	943.64	943.44	943.9200000000001	0.185	26	25.98	26.02	0.013000000000000001	37.57	37.42	37.79	0.063	27.46	25.67	29.28	0.613
2023-03-10T18:45:00.000Z	943.97	943.75	944.11	0.178	26	25.97	26.02	0.012	37.47	37.28	37.65	0.06	27.6	25.54	29.67	0.794
2023-03-10T19:00:00.000Z	943.9300000000001	943.77	944.03	0.099	26	25.990000000000002	26.01	0.004	37.42	37.24	37.59	0.061	27.72	25.85	29.740000000000002	0.895
2023-03-10T19:15:00.000Z	944.26	944	944.4300000000001	0.054	26	25.990000000000002	26.01	0.007	37.34	37.15	37.5	0.059000000000000004	27.85	25.98	29.66	0.713
2023-03-10T19:30:00.000Z	944.85	944.4300000000001	945.02	0.152	26.01	26	26.02	0.007	37.26	37.09	37.5	0.073	27.69	25.84	29.310000000000002	0.599
2023-03-10T19:45:00.000Z	944.89	944.74	945.01	0.108	26	25.990000000000002	26.01	0.006	37.21	36.99	37.39	0.059000000000000004	27.59	25.8	29.19	0.724
2023-03-10T20:00:00.000Z	945.01	944.81	945.38	0.1	26	25.990000000000002	26.01	0.004	37.18	36.980000000000004	37.33	0.053	27.48	25.44	29.28	0.656
2023-03-10T20:15:00.000Z	945.45	945.33	945.56	0	26	25.990000000000002	26.01	0.004	37.15	36.97	37.42	0.061	27.52	25.43	29.560000000000002	0.773
2023-03-10T20:30:00.000Z	945.29	945.1700000000001	945.37	0.149	26	25.990000000000002	26.01	0.007	37.1	36.88	37.27	0.061	27.490000000000002	25.55	29.11	0.716
2023-03-10T20:45:00.000Z	945.3199999999999	945.25	945.4200000000001	0	26	25.990000000000002	26.03	0.011	37.07	36.83	37.28	0.062	27.41	25.35	29.36	0.721
2023-03-10T21:00:00.000Z	945.69	945.4200000000001	945.91	0.081	26	25.990000000000002	26.02	0.01	37.04	36.79	37.25	0.073	27.53	25.75	29.3	0.663
2023-03-10T21:15:00.000Z	945.89	945.8199999999999	945.94	0.111	25.98	25.97	25.990000000000002	0.009000000000000001	36.99	36.77	37.22	0.064	27.96	25.94	29.88	0.727
2023-03-10T21:30:00.000Z	946.0699999999999	945.84	946.31	0.14200000000000002	26	25.98	26	0.006	36.99	36.74	37.19	0.062	28.27	26.37	29.91	0.403
2023-03-10T21:45:00.000Z	946.38	946.24	946.66	0.054	26.01	26	26.02	0.007	36.910000000000004	36.74	37.13	0.067	28.09	26.36	29.990000000000002	0.681
2023-03-10T22:00:00.000Z	946.83	946.66	946.94	0.17300000000000001	26	25.990000000000002	26.01	0.006	36.86	36.65	37.11	0.07200000000000001	28.11	26.060000000000002	29.77	0.765
2023-03-10T22:15:00.000Z	947.06	946.9300000000001	947.25	0.051000000000000004	25.990000000000002	25.98	26	0.007	36.87	36.68	37.07	0.066	28.34	26.53	30.560000000000002	0.735
2023-03-10T22:30:00.000Z	947.1800000000001	947.04	947.37	0.113	26	25.990000000000002	26.02	0.009000000000000001	36.83	36.6	37.12	0.075	28.32	26.67	30.32	0.8220000000000001
2023-03-10T22:45:00.000Z	947.26	947.1700000000001	947.33	0.181	25.990000000000002	25.97	26.02	0.013000000000000001	36.79	36.6	36.97	0.075	28.57	26.5	30.560000000000002	0.889
2023-03-10T23:00:00.000Z	947.03	946.71	947.26	0.215	26	25.98	26.01	0.008	36.75	36.5	36.93	0.079	28.55	26.51	30.7	0.918
2023-03-10T23:15:00.000Z	946.81	946.48	946.98	0	26.01	25.98	26.02	0.009000000000000001	36.7	36.51	36.94	0.075	28.57	26.38	30.45	0.6940000000000001
2023-03-10T23:30:00.000Z	946.66	946.48	946.8	0.065	25.990000000000002	25.96	26.01	0.011	36.7	36.43	36.89	0.083	28.580000000000002	26.490000000000002	30.71	0.793
2023-03-10T23:45:00.000Z	946.8	946.64	947.03	0	25.96	25.92	25.990000000000002	0.02	36.68	36.36	36.93	0.121	29.85	26.89	33.24	1.564
