time	p_mean	p_min	p_max	p_stddev	t_mean	t_min	t_max	t_stddev	h_mean	h_min	h_max	h_stddev	o_mean	o_min	o_max	o_stddev
2023-04-02T18:05:00.000Z	957.4200000000001	957.37	957.48	0.112	26.02	26.02	26.02	0.003	37.67	37.36	37.980000000000004	0.079	28.05	27.55	28.19	0.123
2023-04-02T18:10:00.000Z	957.52	957.48	957.5699999999999	0	26	25.98	26.02	0.016	37.61	37.27	37.910000000000004	0.107	28.67	27.89	30.92	0.916
2023-04-02T18:15:00.000Z	957.59	957.56	957.64	0	25.990000000000002	25.97	26.01	0.011	37.67	37.39	37.95	0.089	27.91	25.91	30.02	1.075
2023-04-02T18:20:00.000Z	957.71	957.65	957.78	0.138	25.990000000000002	25.97	26	0.009000000000000001	37.75	37.42	38.09	0.097	28.87	26.28	31.09	1.201
2023-04-02T18:25:00.000Z	957.83	957.78	957.87	0	25.98	25.95	26.01	0.017	37.88	37.59	38.12	0.1	28.240000000000002	26.68	31.1	1.169
2023-04-02T18:30:00.000Z	957.94	957.87	958	0.14100000000000001	26.01	26	26.02	0.008	37.92	37.62	38.19	0.094	28.32	26.78	30.42	0.871
2023-04-02T18:35:00.000Z	958.05	958	958.11	0.096	26.02	26.01	26.03	0.001	37.96	37.64	38.17	0.08700000000000001	28.28	26.11	30.19	0.781
2023-04-02T18:40:00.000Z	958.15	958.11	958.19	0	26.01	26	26.03	0.009000000000000001	37.97	37.71	38.2	0.076	28.36	26.330000000000002	30.02	0.859
2023-04-02T18:45:00.000Z	958.19	958.1800000000001	958.21	0	25.98	25.97	26	0.006	38.11	37.89	38.39	0.081	28.57	26.36	30.17	0.935
2023-04-02T18:50:00.000Z	958.23	958.2	958.27	0	26	25.990000000000002	26.01	0.005	38.17	37.97	38.39	0.07100000000000001	28.11	26.27	30.02	0.885
2023-04-02T18:55:00.000Z	958.3199999999999	958.27	958.36	0	25.97	25.94	26	0.017	38.12	37.84	38.38	0.131	29.43	26.8	30.970000000000002	1.186
2023-04-02T19:00:00.000Z	958.4	958.36	958.4300000000001	0.189	26.02	25.97	26.03	0.016	38.28	38.11	38.58	0.08	27.7	24.8	30.17	1.5110000000000001
2023-04-02T19:05:00.000Z	958.41	958.39	958.44	0.122	26.01	26.01	26.02	0.006	38.24	37.93	38.49	0.088	28.490000000000002	26.8	30.310000000000002	0.805
2023-04-02T19:10:00.000Z	958.4200000000001	958.39	958.45	0.105	26	25.990000000000002	26.02	0.007	38.29	38.09	38.65	0.112	28.18	26.29	29.69	1.016
2023-04-02T19:15:00.000Z	958.45	958.4300000000001	958.48	0.034	26.01	26	26.02	0.002	38.31	38.03	38.7	0.098	28.34	26.69	30.060000000000002	0.838
2023-04-02T19:20:00.000Z	958.52	958.48	958.56	0.079	25.990000000000002	25.98	26	0.008	38.36	38.09	38.61	0.083	28.6	27.080000000000002	30.01	0.713
2023-04-02T19:25:00.000Z	958.6	958.56	958.63	0.17	25.98	25.98	25.990000000000002	0.003	38.39	38.03	38.72	0.11800000000000001	28.52	27.16	30.48	0.648
2023-04-02T19:30:00.000Z	958.6700000000001	958.63	958.71	0	25.990000000000002	25.98	26	0.006	38.4	38.07	38.6	0.093	28.5	27.17	29.740000000000002	0.555
2023-04-02T19:35:00.000Z	958.72	958.7	958.73	0	26.01	25.990000000000002	26.04	0.02	38.410000000000004	38.22	38.6	0.08	27.91	25.73	30.57	1.236
2023-04-02T19:40:00.000Z	958.72	958.72	958.74	0	26.03	26.02	26.04	0.008	38.44	38.230000000000004	38.6	0.058	28.45	26.62	29.78	0.724
2023-04-02T19:45:00.000Z	958.75	958.73	958.76	0.011	25.990000000000002	25.96	26.03	0.025	38.38	38.13	38.59	0.109	29.22	26.42	30.66	1.044
2023-04-02T19:50:00.000Z	958.75	958.74	958.75	0	26.01	25.96	26.04	0.024	38.56	38.28	38.9	0.114	27.1	25.240000000000002	29.48	1.201
2023-04-02T19:55:00.000Z	958.76	958.73	958.79	0.047	26.02	26.02	26.03	0.003	38.52	38.31	38.83	0.096	28	27.69	29.51	0.47100000000000003
2023-04-02T20:00:00.000Z	958.8	958.78	958.84	0.073	26.01	25.990000000000002	26.02	0.009000000000000001	38.550000000000004	38.4	38.76	0.07100000000000001	27.8	25.48	31.34	1.508
2023-04-02T20:05:00.000Z	958.86	958.83	958.89	0	26	25.97	26.01	0.013000000000000001	38.51	38.11	38.85	0.146	28.3	25.94	29.830000000000002	1.027
2023-04-02T20:10:00.000Z	958.91	958.89	958.95	0	25.98	25.97	25.990000000000002	0.005	38.52	38.28	38.68	0.067	27.88	25.97	29.16	0.757
2023-04-02T20:15:00.000Z	958.99	958.95	959.03	0	25.990000000000002	25.98	25.990000000000002	0	38.480000000000004	38.17	38.730000000000004	0.096	28.13	26.57	29.59	0.657
2023-04-02T20:20:00.000Z	959.0699999999999	959.02	959.11	0	25.990000000000002	25.98	25.990000000000002	0.004	38.47	38.27	38.67	0.073	28.43	27.42	30.07	0.458
2023-04-02T20:25:00.000Z	959.14	959.11	959.16	0.151	26	25.98	26.01	0.011	38.44	38.17	38.62	0.081	28.150000000000002	26.400000000000002	29.89	0.874
2023-04-02T20:30:00.000Z	959.14	959.12	959.15	0.08	26.01	26	26.01	0.007	38.43	38.15	38.74	0.105	28.37	27.05	30.16	0.677
2023-04-02T20:35:00.000Z	959.16	959.15	959.1800000000001	0.097	26.01	26	26.01	0.005	38.38	38.14	38.57	0.083	28.310000000000002	26.63	29.89	0.905
2023-04-02T20:40:00.000Z	959.2	959.1800000000001	959.25	0.15	26.01	26.01	26.02	0	38.38	38.18	38.58	0.064	28.080000000000002	26.92	29.73	0.604
2023-04-02T20:45:00.000Z	959.26	959.24	959.28	0	26.01	26	26.01	0.007	38.36	38.15	38.56	0.08600000000000001	28.18	26	29.68	0.807
2023-04-02T20:50:00.000Z	959.35	959.27	959.4	0.135	26	26	26.01	0.002	38.34	38.02	38.63	0.107	28	26.23	29.5	0.622
2023-04-02T20:55:00.000Z	959.4	959.39	959.4	0	26	25.990000000000002	26	0.002	38.36	38.12	38.71	0.117	28.01	27.11	29.77	0.419
2023-04-02T21:00:00.000Z	959.4	959.39	959.4200000000001	0.073	26	25.990000000000002	26	0.004	38.33	37.96	38.7	0.14	28.23	26.84	30.03	0.791
2023-04-02T21:05:00.000Z	959.44	959.4200000000001	959.47	0	26	25.990000000000002	26	0.004	38.31	37.9	38.47	0.088	28.14	26.490000000000002	29.96	0.887
2023-04-02T21:10:00.000Z	959.49	959.47	959.51	0.132	25.98	25.95	26	0.015	38.34	38.08	38.65	0.101	28.95	26.23	32.42	1.675
2023-04-02T21:15:00.000Z	959.51	959.51	959.52	0	25.990000000000002	25.95	26.02	0.022	38.35	37.910000000000004	38.57	0.12	27.7	25.87	30.150000000000002	1.143
2023-04-02T21:20:00.000Z	959.52	959.51	959.53	0	26.01	26	26.01	0	38.410000000000004	38.17	38.75	0.13	28.57	26.59	30.07	0.771
