time	p_mean	p_min	p_max	p_stddev	t_mean	t_min	t_max	t_stddev	h_mean	h_min	h_max	h_stddev	o_mean	o_min	o_max	o_stddev
2022-04-01T19:00:00.000Z	941.08	940.58	941.78	0.421	26	25.900000000000002	26.11	0.038	28.73	28.13	29.400000000000002	0.20400000000000001	28.39	23.830000000000002	32.88	1.339
2022-04-01T22:00:00.000Z	942.1800000000001	941.74	942.36	0.17300000000000001	26	25.95	26.060000000000002	0.02	28.59	28.09	29.080000000000002	0.128	28.78	24.86	32.69	1.046
2022-04-02T01:00:00.000Z	942.14	942.01	942.24	0.121	26	25.93	26.05	0.022	28.48	27.98	29.04	0.162	29.990000000000002	26.38	34.13	1.09
2022-04-02T04:00:00.000Z	942.27	941.99	942.63	0.14400000000000002	26	25.95	26.080000000000002	0.028	28.12	27.59	28.62	0.162	31.01	26.95	34.81	1.053
2022-04-02T07:00:00.000Z	943.48	942.62	944.35	0.541	26	25.900000000000002	26.09	0.043000000000000003	28.71	27.75	29.37	0.299	31.28	27.44	35.13	1.149
2022-04-02T10:00:00.000Z	945.4200000000001	944.35	946.33	0.5710000000000001	26	25.91	26.080000000000002	0.033	27.96	26.92	29.28	0.601	30.43	26.51	36.65	1.221
2022-04-02T13:00:00.000Z	947.13	946.33	948.16	0.448	26	25.93	26.07	0.02	28.990000000000002	27.66	30.17	0.559	28.7	25.05	32.480000000000004	1.149
2022-04-02T16:00:00.000Z	949.03	948.16	950.03	0.527	26	25.94	26.04	0.014	29.95	29.14	30.87	0.28300000000000003	29.25	25.43	32.63	0.9530000000000001
2022-04-02T19:00:00.000Z	951.27	949.64	952.61	0.797	26	25.94	26.07	0.026000000000000002	30.150000000000002	29.55	30.86	0.171	29.73	26.07	33.53	1.061
2022-04-02T22:00:00.000Z	953.45	952.6	953.97	0.382	26	25.96	26.060000000000002	0.024	30.09	29.48	30.64	0.151	30.26	26.6	33.96	1.051
2022-04-03T01:00:00.000Z	954.38	953.96	954.66	0.21	26	25.84	26.19	0.077	30.03	29.51	30.560000000000002	0.132	29.240000000000002	23.27	34.52	2.201
2022-04-03T04:00:00.000Z	954.79	954.62	954.94	0.171	26	25.93	26.07	0.032	29.89	29.32	30.41	0.127	31.57	27.3	35.08	1.091
2022-04-03T07:00:00.000Z	955.54	954.9200000000001	956.14	0.379	26	25.92	26.07	0.034	29.42	27.29	30.39	0.793	32.11	28.150000000000002	35.75	1.085
2022-04-03T10:00:00.000Z	956.73	956.13	957.03	0.242	26	25.900000000000002	26.080000000000002	0.027	27.57	26.77	28.37	0.298	30.93	26.07	38.83	1.22
2022-04-03T13:00:00.000Z	957.01	956.86	957.2	0.188	26	25.94	26.07	0.026000000000000002	28.45	26.77	30.04	0.891	26.62	21.5	32.71	1.874
2022-04-03T16:00:00.000Z	957.1	956.86	957.39	0.202	26	25.97	26.03	0.014	28.69	28.01	29.5	0.222	25.97	22.7	29.64	0.909
2022-04-03T19:00:00.000Z	958	957.39	958.6	0.337	26	25.97	26.03	0.012	29.05	28.35	29.96	0.337	27.64	23.55	32.38	1.323
