time	p_mean	p_min	p_max	p_stddev	t_mean	t_min	t_max	t_stddev	h_mean	h_min	h_max	h_stddev	o_mean	o_min	o_max	o_stddev
2020-01-31T23:00:00.000Z	956.66	956.55	956.8199999999999	-32.768	32.07	31.92	32.37	0.013000000000000001	17.53	17.27	26.43	0.052000000000000005	61.58	29.35	100	0.663
2020-02-01T23:00:00.000Z	954.8199999999999	952.3199999999999	958.26	-32.768	32	31.51	32.21	0.004	17.8	17.28	26.69	0.023	63.36	17.48	100	0.368
2020-02-02T23:00:00.000Z	957.78	957.28	958.52	-32.768	31.990000000000002	31.19	32.19	0.008	18.59	17.990000000000002	26.89	0.022	63.620000000000005	19.56	100	0.435
2020-02-03T23:00:00.000Z	958.13	952.47	959.99	-32.768	32	31.92	32.07	0.001	18	17.400000000000002	18.93	0.028	67.3	53.36	91.53	0.304
2020-02-04T23:00:00.000Z	956.21	945.45	963.41	-32.768	32	31.89	32.11	0.002	17.57	17.01	18.44	0.031	69.77	48.910000000000004	100	0.382
2020-02-05T23:00:00.000Z	969.98	963.31	973.05	-32.768	31.84	27.34	32.1	0.079	17.79	16.35	22.650000000000002	0.097	65.59	0	85.76	0.794
2020-02-06T23:00:00.000Z	968.84	966.9300000000001	972.03	-32.768	28	27.900000000000002	28.1	0.002	21.57	19.61	22.6	0.058	38.21	14.620000000000001	51.11	0.47100000000000003
2020-02-07T23:00:00.000Z	964.86	962.8	967.1700000000001	-32.768	28	26.02	28.67	0.01	21.02	15.94	22.02	0.12	37.160000000000004	11.76	100	0.645
2020-02-08T23:00:00.000Z	964.02	962.63	964.99	0.77	28.01	27.77	28.51	0.067	21.1	20.02	30.44	0.364	36.64	4.19	100	3.613
2020-02-09T23:00:00.000Z	960.33	951.1800000000001	964.71	4.158	28	26.45	28.54	0.073	20.78	16.45	22.03	0.905	36.53	11.01	100	5.793
2020-02-10T23:00:00.000Z	950.58	946.59	954.52	2.009	28	27.93	28.080000000000002	0.015	21.53	20.77	22.57	0.538	36.77	22.330000000000002	48.18	3.169
2020-02-11T23:00:00.000Z	954.34	948.48	959.79	2.751	28	27.95	28.05	0.013000000000000001	21.79	21.1	22.7	0.34600000000000003	39.03	26.8	51.160000000000004	2.7720000000000002
2020-02-12T23:00:00.000Z	960.5699999999999	958.5699999999999	962.1	0.854	28	27.91	28.12	0.016	21.12	19.22	22.53	0.681	39.800000000000004	22.48	55.99	2.738
2020-02-13T23:00:00.000Z	953.13	945.75	961	4.269	28	27.93	28.05	0.014	20.490000000000002	18.490000000000002	21.31	0.5680000000000001	39.88	29.02	60.83	2.976
2020-02-14T23:00:00.000Z	961.49	952.58	966.24	3.979	28	27.17	28.51	0.055	20.8	16.91	21.76	0.768	38.34	14.31	100	5.247
2020-02-15T23:00:00.000Z	963.02	961	965.09	1.2530000000000001	28	27.900000000000002	28.09	0.018000000000000002	20.580000000000002	18.19	21.7	0.67	37.37	11.01	51.56	5.001
2020-02-16T23:00:00.000Z	958.81	956.61	962.26	1.722	28	27.88	28.04	0.014	20.53	19.95	21.39	0.379	38.86	26.04	56.61	3.081
2020-02-17T23:00:00.000Z	960.1	957.33	966.38	2.5	28	27.94	28.11	0.016	21.32	20.27	22.93	0.644	39.230000000000004	19.46	50.85	2.993
2020-02-18T23:00:00.000Z	967.11	965.23	968.7	0.754	28	27.8	28.7	0.047	21.19	19.04	22.740000000000002	0.599	38.52	0	57.910000000000004	5.315
2020-02-19T23:00:00.000Z	963.63	961.28	966.1700000000001	1.465	28	27.82	28.36	0.028	21	20.69	22.03	0.1	40.550000000000004	4.82	51.21	3.884
2020-02-20T23:00:00.000Z	961.7	958.71	965.12	1.9100000000000001	28	27.91	28.13	0.02	20.900000000000002	20.6	22.080000000000002	0.17200000000000001	38.84	3.27	51.04	5.982
2020-02-21T23:00:00.000Z	967.5699999999999	961.33	970.14	2.2720000000000002	28	27.72	28.240000000000002	0.026000000000000002	20.81	20.490000000000002	22.25	0.201	39.28	0	51.28	6.452
2020-02-22T23:00:00.000Z	968.45	966.54	969.66	0.784	28	27.830000000000002	28.1	0.021	20.62	20.38	21.93	0.20700000000000002	38.59	2.29	53.980000000000004	6.619
