time	p_mean	p_min	p_max	p_stddev	t_mean	t_min	t_max	t_stddev	h_mean	h_min	h_max	h_stddev	o_mean	o_min	o_max	o_stddev
2020-04-12T09:28:30.000Z	870.47	870.45	870.48	0.038	10.61	10.6	10.61	0.003	34.96	34.85	35.07	0.066	0	0	0	0
2020-04-12T09:29:00.000Z	870.45	870.4300000000001	870.46	0.127	10.61	10.6	10.61	0.002	35.02	34.88	35.14	0.073	0	0	0	0
2020-04-12T09:29:30.000Z	870.4300000000001	870.42	870.45	0	10.61	10.6	10.61	0.004	35.01	34.92	35.15	0.064	0	0	0	0
2020-04-12T09:30:00.000Z	870.4300000000001	870.4	870.45	0.169	10.61	10.6	10.61	0.002	35	34.9	35.11	0.067	0	0	0	0
2020-04-12T09:30:30.000Z	870.42	870.42	870.4300000000001	0	10.61	10.6	10.620000000000001	0.004	34.96	34.85	35.09	0.07100000000000001	0	0	0	0
2020-04-12T09:31:00.000Z	870.42	870.41	870.4300000000001	0	10.61	10.61	10.620000000000001	0.003	34.96	34.85	35.13	0.085	0	0	0	0
2020-04-12T09:31:30.000Z	870.42	870.4	870.4300000000001	0	10.61	10.6	10.61	0.002	34.99	34.89	35.09	0.057	0	0	0	0
2020-04-12T09:32:00.000Z	870.41	870.4	870.42	0.059000000000000004	10.61	10.6	10.620000000000001	0.005	35	34.89	35.09	0.054	0	0	0	0
2020-04-12T09:32:30.000Z	870.4	870.38	870.42	0	10.61	10.61	10.620000000000001	0.003	35.01	34.89	35.14	0.074	0	0	0	0
2020-04-12T09:33:00.000Z	870.41	870.39	870.4300000000001	0	10.61	10.6	10.61	0.003	34.96	34.85	35.06	0.052000000000000005	0	0	0	0
2020-04-12T09:33:30.000Z	870.41	870.4	870.4300000000001	0	10.61	10.61	10.61	0	35.03	34.94	35.12	0.053	0	0	0	0
2020-04-12T09:34:00.000Z	870.41	870.4	870.41	0.17	10.61	10.61	10.620000000000001	0.003	34.99	34.9	35.06	0.049	0	0	0	0
2020-04-12T09:34:30.000Z	870.4	870.39	870.42	0	10.61	10.61	10.620000000000001	0.003	35.050000000000004	34.88	35.15	0.074	0	0	0	0
2020-04-12T09:35:00.000Z	870.4	870.38	870.41	0.148	10.61	10.61	10.620000000000001	0.003	35.01	34.83	35.12	0.075	0	0	0	0
2020-04-12T09:35:30.000Z	870.4	870.38	870.41	0.137	10.61	10.6	10.61	0.002	35	34.89	35.11	0.062	0	0	0	0
2020-04-12T09:36:00.000Z	870.38	870.37	870.39	0.167	10.61	10.6	10.620000000000001	0.004	35.01	34.9	35.1	0.07	0	0	0	0
2020-04-12T09:36:30.000Z	870.39	870.37	870.42	0.145	10.61	10.61	10.620000000000001	0.004	34.97	34.88	35.04	0.057	0	0	0	0
2020-04-12T09:37:00.000Z	870.37	870.35	870.41	0.133	10.61	10.61	10.620000000000001	0.003	35.02	34.89	35.12	0.07200000000000001	0	0	0	0
2020-04-12T09:37:30.000Z	870.34	870.33	870.36	0	10.61	10.61	10.620000000000001	0.002	34.980000000000004	34.87	35.08	0.059000000000000004	0	0	0	0
2020-04-12T09:38:00.000Z	870.36	870.35	870.37	0	10.61	10.6	10.620000000000001	0.004	35.03	34.99	35.1	0.034	0	0	0	0
2020-04-12T09:38:30.000Z	870.34	870.33	870.35	0.017	10.61	10.61	10.620000000000001	0.002	35.04	34.83	35.15	0.07	0	0	0	0
2020-04-12T09:39:00.000Z	870.34	870.32	870.37	0.165	10.61	10.6	10.620000000000001	0.005	35.02	34.93	35.11	0.051000000000000004	0	0	0	0
2020-04-12T09:39:30.000Z	870.33	870.32	870.35	0.115	10.61	10.61	10.620000000000001	0.003	35.01	34.88	35.11	0.085	0	0	0	0
2020-04-12T09:40:00.000Z	870.33	870.32	870.35	0	10.61	10.61	10.620000000000001	0.003	35.02	34.84	35.13	0.098	0	0	0	0
2020-04-12T09:40:30.000Z	870.32	870.3	870.33	0	10.620000000000001	10.61	10.620000000000001	0.003	34.980000000000004	34.92	35.07	0.059000000000000004	0	0	0	0
2020-04-12T09:41:00.000Z	870.32	870.31	870.34	0	10.620000000000001	10.61	10.620000000000001	0.004	35.01	34.9	35.160000000000004	0.078	0	0	0	0
2020-04-12T09:41:30.000Z	870.33	870.3	870.35	0	10.620000000000001	10.61	10.63	0.005	35	34.89	35.14	0.052000000000000005	0	0	0	0
2020-04-12T09:42:00.000Z	870.33	870.31	870.34	0	10.61	10.61	10.620000000000001	0.004	34.99	34.88	35.1	0.067	0	0	0	0
2020-04-12T09:42:30.000Z	870.31	870.29	870.32	0	10.620000000000001	10.61	10.620000000000001	0.003	34.97	34.84	35.1	0.077	0	0	0	0
2020-04-12T09:43:00.000Z	870.31	870.3	870.33	0	10.620000000000001	10.61	10.620000000000001	0.003	35	34.84	35.13	0.09	0	0	0	0
2020-04-12T09:43:30.000Z	870.31	870.29	870.32	0.131	10.620000000000001	10.61	10.63	0.003	35.03	34.88	35.12	0.07	0	0	0	0
2020-04-12T09:44:00.000Z	870.3	870.28	870.31	0.163	10.620000000000001	10.61	10.620000000000001	0.004	34.99	34.9	35.11	0.06	0	0	0	0
2020-04-12T09:44:30.000Z	870.29	870.27	870.3	0.049	10.620000000000001	10.620000000000001	10.63	0.003	35.01	34.94	35.1	0.045	0	0	0	0
2020-04-12T09:45:00.000Z	870.3	870.28	870.31	0	10.620000000000001	10.61	10.63	0.003	34.99	34.86	35.12	0.081	0	0	0	0
2020-04-12T09:45:30.000Z	870.3	870.29	870.31	0.011	10.620000000000001	10.61	10.63	0.003	34.97	34.87	35.08	0.073	0	0	0	0
2020-04-12T09:46:00.000Z	870.29	870.29	870.3	0	10.620000000000001	10.61	10.620000000000001	0.004	35.08	34.910000000000004	35.21	0.08600000000000001	0	0	0	0
2020-04-12T09:46:30.000Z	870.26	870.24	870.27	0.171	10.620000000000001	10.61	10.63	0.004	35.01	34.97	35.06	0.029	0	0	0	0
2020-04-12T09:47:00.000Z	870.24	870.23	870.25	0	10.620000000000001	10.61	10.63	0.003	35.03	34.9	35.13	0.076	0	0	0	0
2020-04-12T09:47:30.000Z	870.27	870.25	870.28	0.082	10.620000000000001	10.620000000000001	10.63	0.003	34.980000000000004	34.85	35.11	0.075	0	0	0	0
2020-04-12T09:48:00.000Z	870.26	870.24	870.28	0	10.620000000000001	10.620000000000001	10.63	0.003	35.04	34.89	35.14	0.084	0	0	0	0
2020-04-12T09:48:30.000Z	870.26	870.24	870.27	0.17300000000000001	10.620000000000001	10.620000000000001	10.63	0.002	35.01	34.9	35.07	0.049	0	0	0	0
2020-04-12T09:49:00.000Z	870.26	870.25	870.28	0	10.620000000000001	10.620000000000001	10.63	0.002	35.01	34.9	35.12	0.07	0	0	0	0
2020-04-12T09:49:30.000Z	870.25	870.24	870.26	0.17300000000000001	10.620000000000001	10.620000000000001	10.63	0.003	34.980000000000004	34.910000000000004	35.09	0.047	0	0	0	0
2020-04-12T09:50:00.000Z	870.25	870.23	870.26	0.094	10.620000000000001	10.620000000000001	10.63	0.005	34.980000000000004	34.910000000000004	35.08	0.051000000000000004	0	0	0	0
2020-04-12T09:50:30.000Z	870.23	870.22	870.25	0	10.63	10.620000000000001	10.63	0.003	34.99	34.85	35.11	0.07	0	0	0	0
2020-04-12T09:51:00.000Z	870.22	870.21	870.23	0.096	10.63	10.620000000000001	10.63	0.004	35.03	34.89	35.160000000000004	0.091	0	0	0	0
2020-04-12T09:51:30.000Z	870.22	870.2	870.24	0.09	10.620000000000001	10.620000000000001	10.63	0.003	34.99	34.88	35.11	0.064	0	0	0	0
2020-04-12T09:52:00.000Z	870.21	870.2	870.22	0.122	10.620000000000001	10.620000000000001	10.63	0.003	35.02	34.89	35.12	0.067	0	0	0	0
2020-04-12T09:52:30.000Z	870.22	870.2	870.23	0.167	10.63	10.620000000000001	10.63	0.002	35.050000000000004	34.95	35.14	0.058	0	0	0	0
2020-04-12T09:53:00.000Z	870.22	870.21	870.23	0	10.63	10.620000000000001	10.63	0.003	35.050000000000004	34.93	35.15	0.069	0	0	0	0
2020-04-12T09:53:30.000Z	870.21	870.19	870.23	0	10.620000000000001	10.620000000000001	10.63	0.004	35.03	34.94	35.14	0.061	0	0	0	0
2020-04-12T09:54:00.000Z	870.22	870.21	870.23	0	10.63	10.620000000000001	10.63	0.002	35.04	34.99	35.11	0.041	0	0	0	0
2020-04-12T09:54:30.000Z	870.23	870.22	870.25	0.019	10.620000000000001	10.620000000000001	10.63	0.003	35.03	34.95	35.14	0.063	0	0	0	0
2020-04-12T09:55:00.000Z	870.21	870.19	870.22	0	10.63	10.620000000000001	10.63	0.003	35.03	34.82	35.14	0.094	0	0	0	0
2020-04-12T09:55:30.000Z	870.2	870.19	870.21	0.059000000000000004	10.63	10.620000000000001	10.63	0.002	35	34.87	35.14	0.075	0	0	0	0
2020-04-12T09:56:00.000Z	870.2	870.19	870.21	0	10.620000000000001	10.620000000000001	10.63	0.003	35	34.87	35.11	0.065	0	0	0	0
2020-04-12T09:56:30.000Z	870.2	870.1800000000001	870.21	0.12	10.63	10.620000000000001	10.63	0.003	34.99	34.86	35.1	0.07100000000000001	0	0	0	0
2020-04-12T09:57:00.000Z	870.2	870.19	870.21	0	10.63	10.620000000000001	10.63	0.004	34.99	34.84	35.08	0.081	0	0	0	0
2020-04-12T09:57:30.000Z	870.2	870.1800000000001	870.21	0	10.63	10.620000000000001	10.63	0.002	35.03	34.92	35.230000000000004	0.077	0	0	0	0
2020-04-12T09:58:00.000Z	870.19	870.17	870.21	0	10.63	10.620000000000001	10.63	0.003	35.04	34.95	35.14	0.056	0	0	0	0
2020-04-12T09:58:30.000Z	870.19	870.19	870.2	0.178	10.63	10.620000000000001	10.63	0.003	35.050000000000004	34.94	35.13	0.053	0	0	0	0
2020-04-12T09:59:00.000Z	870.1800000000001	870.17	870.2	0.116	10.63	10.620000000000001	10.63	0.002	35.050000000000004	34.95	35.12	0.062	0	0	0	0
2020-04-12T09:59:30.000Z	870.19	870.17	870.21	0.112	10.63	10.620000000000001	10.63	0.002	35.08	34.92	35.21	0.079	0	0	0	0
2020-04-12T10:00:00.000Z	870.17	870.15	870.1800000000001	0.11900000000000001	10.63	10.620000000000001	10.64	0.004	35	34.88	35.09	0.057	0	0	0	0
2020-04-12T10:00:30.000Z	870.16	870.15	870.17	0	10.63	10.620000000000001	10.63	0.004	35	34.88	35.1	0.063	0	0	0	0
2020-04-12T10:01:00.000Z	870.16	870.14	870.17	0	10.63	10.620000000000001	10.63	0.002	35.03	34.93	35.15	0.064	0	0	0	0
2020-04-12T10:01:30.000Z	870.15	870.14	870.17	0	10.63	10.620000000000001	10.63	0.003	35	34.85	35.08	0.07	0	0	0	0
2020-04-12T10:02:00.000Z	870.14	870.13	870.15	0	10.63	10.620000000000001	10.64	0.004	35.06	34.910000000000004	35.21	0.08600000000000001	0	0	0	0
2020-04-12T10:02:30.000Z	870.15	870.13	870.17	0.186	10.63	10.620000000000001	10.63	0.002	35.02	34.9	35.160000000000004	0.089	0	0	0	0
2020-04-12T10:03:00.000Z	870.14	870.13	870.15	0	10.63	10.620000000000001	10.63	0.004	35.02	34.93	35.12	0.066	0	0	0	0
2020-04-12T10:03:30.000Z	870.14	870.13	870.15	0	10.63	10.620000000000001	10.64	0.004	34.99	34.88	35.08	0.05	0	0	0	0
2020-04-12T10:04:00.000Z	870.11	870.1	870.13	0	10.63	10.620000000000001	10.64	0.005	35.01	34.92	35.24	0.08700000000000001	0	0	0	0
2020-04-12T10:04:30.000Z	870.09	870.08	870.1	0	10.63	10.620000000000001	10.63	0.002	35	34.910000000000004	35.11	0.055	0	0	0	0
2020-04-12T10:05:00.000Z	870.09	870.08	870.11	0	10.63	10.620000000000001	10.63	0.004	35.02	34.87	35.15	0.08	0	0	0	0
2020-04-12T10:05:30.000Z	870.07	870.06	870.09	0.131	10.63	10.620000000000001	10.64	0.004	35.01	34.88	35.09	0.066	0	0	0	0
2020-04-12T10:06:00.000Z	870.09	870.07	870.1	0.16	10.63	10.620000000000001	10.64	0.003	35.050000000000004	34.89	35.12	0.081	0	0	0	0
2020-04-12T10:06:30.000Z	870.1	870.08	870.12	0	10.63	10.63	10.64	0.003	34.99	34.85	35.07	0.069	0	0	0	0
2020-04-12T10:07:00.000Z	870.09	870.08	870.11	0	10.63	10.63	10.64	0.003	34.99	34.86	35.08	0.049	0	0	0	0
2020-04-12T10:07:30.000Z	870.08	870.07	870.1	0.074	10.63	10.63	10.64	0.003	35.02	34.910000000000004	35.19	0.074	0	0	0	0
2020-04-12T10:08:00.000Z	870.1	870.08	870.12	0	10.63	10.63	10.64	0	35.02	34.9	35.14	0.06	0	0	0	0
2020-04-12T10:08:30.000Z	870.08	870.07	870.09	0.194	10.63	10.63	10.64	0.003	35.07	34.93	35.2	0.081	0	0	0	0
2020-04-12T10:09:00.000Z	870.09	870.08	870.1	0	10.63	10.63	10.64	0.004	35.050000000000004	34.92	35.160000000000004	0.079	0	0	0	0
2020-04-12T10:09:30.000Z	870.09	870.08	870.11	0	10.63	10.63	10.64	0.003	35.03	34.96	35.11	0.048	0	0	0	0
2020-04-12T10:10:00.000Z	870.07	870.06	870.09	0	10.63	10.63	10.64	0.003	35.07	35	35.17	0.049	0	0	0	0
2020-04-12T10:10:30.000Z	870.09	870.08	870.11	0	10.64	10.63	10.64	0.003	35.04	34.97	35.14	0.057	0	0	0	0
2020-04-12T10:11:00.000Z	870.07	870.05	870.1	0.116	10.63	10.63	10.64	0.004	34.980000000000004	34.93	35.11	0.05	0	0	0	0
