time	p_mean	p_min	p_max	p_stddev	t_mean	t_min	t_max	t_stddev	h_mean	h_min	h_max	h_stddev	o_mean	o_min	o_max	o_stddev
2021-12-18T16:03:30.000Z	877.92	877.92	877.9300000000001	0.001	20.01	20.01	20.01	0	47.1	46.86	47.42	0.17200000000000001	9.66	9.65	9.66	0.006
2021-12-18T16:03:45.000Z	877.9300000000001	877.92	877.9300000000001	0.001	20	20	20	0.002	47.31	46.97	47.59	0.202	9.64	9.64	9.64	0
2021-12-18T16:04:00.000Z	877.92	877.92	877.92	0.003	20	20	20	0	47.51	47.230000000000004	47.730000000000004	0.181	12.26	11.290000000000001	13.24	1.3800000000000001
2021-12-18T16:04:15.000Z	877.91	877.91	877.92	0.003	19.990000000000002	19.990000000000002	20	0.004	47.18	46.96	47.28	0.108	10.39	10.39	10.39	0
2021-12-18T16:04:30.000Z	877.91	877.9	877.91	0.001	19.990000000000002	19.990000000000002	19.990000000000002	0	47.42	47.04	47.7	0.221	13.040000000000001	11.93	14.15	1.565
2021-12-18T16:04:45.000Z	877.91	877.91	877.91	0.001	19.990000000000002	19.990000000000002	19.990000000000002	0	47.18	46.85	47.44	0.188	10.67	10.67	10.67	0
2021-12-18T16:05:00.000Z	877.91	877.91	877.91	0.001	19.990000000000002	19.990000000000002	19.990000000000002	0	47.550000000000004	47.230000000000004	47.84	0.202	10.39	10.39	10.4	0.006
2021-12-18T16:05:15.000Z	877.91	877.91	877.91	0.001	19.990000000000002	19.990000000000002	19.990000000000002	0	47.31	47.14	47.49	0.132	10.41	10.41	10.41	0
2021-12-18T16:05:30.000Z	877.9	877.9	877.91	0.003	19.990000000000002	19.990000000000002	19.990000000000002	0	47.15	46.76	47.77	0.364	10.42	10.42	10.42	0.006
2021-12-18T16:05:45.000Z	877.9	877.9	877.9	0.001	19.990000000000002	19.990000000000002	19.990000000000002	0.002	47.46	47.21	47.65	0.146	10.43	10.43	10.43	0
2021-12-18T16:06:00.000Z	877.9	877.9	877.9	0	19.990000000000002	19.990000000000002	19.990000000000002	0	47.29	47.07	47.65	0.197	11.22	9.21	13.22	2.829
2021-12-18T16:06:15.000Z	877.89	877.89	877.9	0.002	19.990000000000002	19.990000000000002	19.990000000000002	0	47.410000000000004	47.27	47.67	0.151	10.08	10.08	10.08	0
2021-12-18T16:06:30.000Z	877.89	877.89	877.89	0.001	19.990000000000002	19.990000000000002	19.990000000000002	0	47.44	46.96	48.03	0.34400000000000003	10.540000000000001	10.53	10.540000000000001	0.007
2021-12-18T16:06:45.000Z	877.89	877.89	877.89	0.001	19.990000000000002	19.990000000000002	19.990000000000002	0	47.47	47.28	47.83	0.184	10.56	10.56	10.56	0
2021-12-18T16:07:00.000Z	877.89	877.89	877.89	0.001	20	19.990000000000002	20	0.002	47.1	46.94	47.33	0.149	8.11	5.66	10.57	3.466
2021-12-18T16:07:15.000Z	877.89	877.89	877.89	0.001	20	20	20	0	47.53	47.29	47.77	0.167	9.06	9.06	9.06	0
2021-12-18T16:07:30.000Z	877.89	877.88	877.89	0.001	20	20	20	0	47.45	47.160000000000004	47.88	0.247	10.03	9.89	10.17	0.2
2021-12-18T16:07:45.000Z	877.88	877.88	877.88	0.001	20	20	20	0	47.47	47.03	47.94	0.296	10.17	10.17	10.17	0
2021-12-18T16:08:00.000Z	877.88	877.88	877.88	0.001	19.990000000000002	19.990000000000002	19.990000000000002	0.002	47.230000000000004	46.65	47.730000000000004	0.386	12.57	12.370000000000001	12.77	0.28200000000000003
2021-12-18T16:08:15.000Z	877.88	877.87	877.88	0.002	19.990000000000002	19.990000000000002	19.990000000000002	0	47.19	46.65	47.63	0.324	11.450000000000001	11.450000000000001	11.450000000000001	0
2021-12-18T16:08:30.000Z	877.88	877.88	877.88	0.001	19.990000000000002	19.990000000000002	19.990000000000002	0	47.44	47.050000000000004	47.67	0.225	10.61	10.57	10.65	0.058
2021-12-18T16:08:45.000Z	877.88	877.88	877.88	0.001	19.990000000000002	19.990000000000002	19.990000000000002	0	47.58	47.34	47.83	0.16	10.58	10.58	10.58	0
2021-12-18T16:09:00.000Z	877.88	877.88	877.88	0.001	19.990000000000002	19.990000000000002	20	0.003	47.21	46.85	47.56	0.226	9.75	8.05	11.450000000000001	2.398
2021-12-18T16:09:15.000Z	877.89	877.88	877.89	0.004	20	19.990000000000002	20	0.003	47.69	47.43	47.93	0.17200000000000001	10.28	10.28	10.28	0
2021-12-18T16:09:30.000Z	877.89	877.89	877.89	0.002	20	20	20	0	47.64	47.160000000000004	48.04	0.35000000000000003	8.53	7.78	9.28	1.063
2021-12-18T16:09:45.000Z	877.89	877.88	877.89	0.003	20.01	20.01	20.01	0.002	47.75	47.34	48.08	0.248	7.19	7.19	7.19	0
2021-12-18T16:10:00.000Z	877.88	877.88	877.88	0.001	20.01	20.01	20.01	0	47.63	47.28	47.95	0.28200000000000003	8.33	7.55	9.1	1.099
