time	p_mean	p_min	p_max	p_stddev	t_mean	t_min	t_max	t_stddev	h_mean	h_min	h_max	h_stddev	o_mean	o_min	o_max	o_stddev
2021-11-18T16:00:00.000Z	876.79	876.71	876.89	0.184	11.200000000000001	11.19	11.21	0.004	54.13	53.69	54.480000000000004	0.127	0.08	0	1.71	0.304
2021-11-18T16:15:00.000Z	876.89	876.84	876.9300000000001	0	11.18	11.18	11.19	0.004	54.15	53.78	54.43	0.126	0.79	0	2.2	1.06
2021-11-18T16:30:00.000Z	876.97	876.89	877.13	0.132	11.18	11.17	11.18	0.005	54.18	53.76	54.51	0.125	0.48	0	2.32	0.842
2021-11-18T16:45:00.000Z	877.23	877.13	877.33	0.138	11.18	11.17	11.18	0.004	54.19	53.83	54.550000000000004	0.11	0.1	0	2.58	0.418
2021-11-18T17:00:00.000Z	877.46	877.32	877.69	0.085	11.16	11.16	11.17	0.003	54.21	53.79	54.68	0.128	0.03	0	2.0300000000000002	0.262
2021-11-18T17:15:00.000Z	877.8	877.69	877.87	0	11.16	11.15	11.16	0.004	54.22	53.88	54.51	0.116	0.44	0	1.97	0.5700000000000001
2021-11-18T17:30:00.000Z	877.69	877.55	877.86	0	11.16	11.15	11.16	0.005	54.22	53.78	54.68	0.131	0.24	0	3	0.616
2021-11-18T17:45:00.000Z	877.53	877.48	877.65	0	11.17	11.15	11.17	0.004	54.21	53.74	54.660000000000004	0.126	0.14	0	2.86	0.34
2021-11-18T18:00:00.000Z	877.74	877.65	877.78	0	11.16	11.14	11.17	0.01	54.17	53.84	54.550000000000004	0.124	0.38	0	3.19	0.587
2021-11-18T18:15:00.000Z	877.77	877.72	877.85	0.033	11.15	11.14	11.17	0.007	54.21	53.88	54.52	0.12	0.34	0	4.11	0.776
2021-11-18T18:30:00.000Z	877.89	877.85	877.91	0.171	11.17	11.16	11.17	0.004	54.18	53.7	54.57	0.129	0.35000000000000003	0	1.94	0.731
2021-11-18T18:45:00.000Z	877.97	877.9	878.03	0	11.15	11.14	11.16	0.006	54.17	53.79	54.52	0.121	1.21	0	2.81	1.281
2021-11-18T19:00:00.000Z	878.1	878.02	878.15	0	11.14	11.14	11.15	0.001	54.19	53.71	54.6	0.133	0.26	0	3.34	0.63
2021-11-18T19:15:00.000Z	878.17	878.14	878.2	0	11.15	11.14	11.16	0.007	54.160000000000004	53.83	54.46	0.115	0.35000000000000003	0	4.68	0.704
2021-11-18T19:30:00.000Z	878.22	878.16	878.27	0	11.15	11.14	11.16	0.003	54.17	53.78	54.74	0.134	0.45	0	2.7	0.562
2021-11-18T19:45:00.000Z	878.31	878.27	878.34	0	11.15	11.14	11.16	0.004	54.17	53.67	54.54	0.131	0.24	0	2.83	0.596
2021-11-18T20:00:00.000Z	878.32	878.29	878.36	0.149	11.14	11.14	11.15	0.005	54.17	53.74	54.61	0.123	0.04	0	2.29	0.295
2021-11-18T20:15:00.000Z	878.34	878.3	878.38	0	11.14	11.13	11.14	0.005	54.18	53.75	54.67	0.138	0.29	0	3.35	0.72
2021-11-18T20:30:00.000Z	878.38	878.33	878.4300000000001	0.163	11.15	11.14	11.15	0.004	54.13	53.78	54.480000000000004	0.122	0.25	0	2.14	0.383
2021-11-18T20:45:00.000Z	878.44	878.4	878.51	0.10300000000000001	11.14	11.13	11.15	0.006	54.160000000000004	53.86	54.58	0.122	0.52	0	2.5100000000000002	0.714
2021-11-18T21:00:00.000Z	878.53	878.47	878.59	0	11.13	11.13	11.14	0.004	54.13	53.660000000000004	54.47	0.123	0.13	0	4.03	0.631
2021-11-18T21:15:00.000Z	878.53	878.48	878.58	0.14400000000000002	11.14	11.13	11.16	0.006	54.14	53.84	54.6	0.11900000000000001	0.27	0	3.42	0.715
2021-11-18T21:30:00.000Z	878.57	878.5	878.6	0	11.16	11.15	11.18	0.009000000000000001	54.120000000000005	53.72	54.53	0.129	0.33	0	3.96	0.6900000000000001
2021-11-18T21:45:00.000Z	878.49	878.4300000000001	878.54	0	11.18	11.17	11.18	0.004	54.04	53.58	54.46	0.125	0.25	0	2.71	0.636
2021-11-18T22:00:00.000Z	878.42	878.37	878.45	0.154	11.16	11.15	11.18	0.007	54.03	53.54	54.49	0.129	0.17	0	3.2600000000000002	0.605
2021-11-18T22:15:00.000Z	878.37	878.34	878.39	0.137	11.15	11.14	11.16	0.004	54.050000000000004	53.68	54.44	0.126	0.24	0	2.92	0.499
2021-11-18T22:30:00.000Z	878.29	878.25	878.35	0.136	11.14	11.13	11.15	0.006	54.07	53.620000000000005	54.45	0.127	0.21	0	2.56	0.635
2021-11-18T22:45:00.000Z	878.29	878.26	878.33	0.059000000000000004	11.14	11.13	11.14	0.004	54.09	53.75	54.42	0.131	0.45	0	3.2800000000000002	0.546
2021-11-18T23:00:00.000Z	878.25	878.21	878.31	0	11.14	11.13	11.15	0.007	54.09	53.61	54.42	0.127	0.63	0	3.46	0.972
2021-11-18T23:15:00.000Z	878.25	878.2	878.31	0	11.14	11.13	11.15	0.008	54.07	53.7	54.370000000000005	0.124	0.11	0	1.99	0.417
2021-11-18T23:30:00.000Z	878.26	878.23	878.3	0.171	11.13	11.120000000000001	11.13	0.004	54.08	53.75	54.43	0.126	0.18	0	2.7	0.379
2021-11-18T23:45:00.000Z	878.16	878.11	878.24	0.097	11.13	11.120000000000001	11.13	0.005	54.09	53.68	54.42	0.11800000000000001	0.44	0	2.69	0.711
2021-11-19T00:00:00.000Z	878.13	878.09	878.17	0	11.120000000000001	11.11	11.13	0.004	54.08	53.730000000000004	54.39	0.12	0.16	0	3.37	0.422
2021-11-19T00:15:00.000Z	878.08	878.05	878.12	0.094	11.11	11.11	11.120000000000001	0.003	54.11	53.7	54.410000000000004	0.126	0.74	0	3.4	0.838
2021-11-19T00:30:00.000Z	878.1	878.07	878.12	0.078	11.13	11.11	11.14	0.011	54.08	53.71	54.47	0.124	0.25	0	2.32	0.544
2021-11-19T00:45:00.000Z	878.1	878.06	878.13	0	11.13	11.11	11.14	0.005	54.03	53.65	54.38	0.117	0.17	0	3.3000000000000003	0.585
2021-11-19T01:00:00.000Z	878.08	878.06	878.13	0.169	11.120000000000001	11.11	11.120000000000001	0.004	54.06	53.69	54.410000000000004	0.122	0.23	0	2.6	0.594
2021-11-19T01:15:00.000Z	878.14	878.11	878.1800000000001	0.127	11.11	11.1	11.120000000000001	0.005	54.06	53.7	54.51	0.11800000000000001	0.21	0	2.86	0.587
2021-11-19T01:30:00.000Z	878.1800000000001	878.12	878.22	0.083	11.11	11.1	11.11	0.003	54.04	53.69	54.44	0.116	0.21	0	2.27	0.526
2021-11-19T01:45:00.000Z	878.21	878.19	878.24	0.163	11.11	11.1	11.11	0.005	54.06	53.54	54.45	0.123	0.34	0	4.17	0.835
2021-11-19T02:00:00.000Z	878.21	878.1800000000001	878.25	0.152	11.13	11.1	11.16	0.018000000000000002	54.02	53.63	54.46	0.134	0.37	0	4.58	0.843
2021-11-19T02:15:00.000Z	878.1800000000001	878.16	878.21	0.155	11.15	11.14	11.16	0.008	53.94	53.59	54.43	0.127	0.54	0	2.41	0.809
2021-11-19T02:30:00.000Z	878.17	878.15	878.2	0	11.120000000000001	11.11	11.14	0.009000000000000001	53.99	53.64	54.34	0.13	0.86	0	2.89	1.16
2021-11-19T02:45:00.000Z	878.12	878.08	878.17	0.17300000000000001	11.1	11.09	11.11	0.006	53.99	53.61	54.4	0.128	0.37	0	2.34	0.734
2021-11-19T03:00:00.000Z	878.14	878.12	878.16	0.10200000000000001	11.1	11.09	11.1	0.003	54.01	53.61	54.35	0.122	0.36	0	4.15	0.744
2021-11-19T03:15:00.000Z	878.11	878.07	878.2	0	11.1	11.09	11.11	0.004	53.99	53.620000000000005	54.38	0.12	0.55	0	2.82	0.976
2021-11-19T03:30:00.000Z	878.27	878.19	878.34	0.121	11.11	11.1	11.120000000000001	0.003	53.99	53.660000000000004	54.42	0.13	0.09	0	3.72	0.514
2021-11-19T03:45:00.000Z	878.33	878.3	878.35	0	11.1	11.09	11.11	0.005	53.97	53.56	54.33	0.13	0.14	0	3.5700000000000003	0.585
2021-11-19T04:00:00.000Z	878.41	878.35	878.4300000000001	0.111	11.09	11.08	11.09	0.004	53.980000000000004	53.69	54.410000000000004	0.124	0.15	0	2.0100000000000002	0.418
2021-11-19T04:15:00.000Z	878.44	878.4	878.51	0	11.08	11.07	11.09	0.006	53.980000000000004	53.63	54.35	0.125	0.21	0	2.79	0.399
2021-11-19T04:30:00.000Z	878.44	878.31	878.5	0.151	11.08	11.07	11.09	0.002	53.96	53.67	54.300000000000004	0.11	0.19	0	2.74	0.49
2021-11-19T04:45:00.000Z	878.32	878.28	878.36	0	11.08	11.07	11.08	0.004	54	53.64	54.32	0.117	0.06	0	3.69	0.47600000000000003
2021-11-19T05:00:00.000Z	878.33	878.28	878.35	0.091	11.07	11.06	11.07	0.002	54	53.550000000000004	54.31	0.11900000000000001	0.18	0	2.17	0.536
2021-11-19T05:15:00.000Z	878.29	878.27	878.31	0	11.07	11.06	11.07	0.004	54	53.53	54.550000000000004	0.124	0.08	0	3.31	0.41400000000000003
2021-11-19T05:30:00.000Z	878.33	878.28	878.4	0	11.06	11.05	11.06	0.005	54	53.52	54.39	0.11800000000000001	0.08	0	3.09	0.379
2021-11-19T05:45:00.000Z	878.39	878.37	878.41	0.128	11.05	11.040000000000001	11.05	0.003	53.99	53.56	54.32	0.125	0.31	0	2.93	0.8170000000000001
2021-11-19T06:00:00.000Z	878.4300000000001	878.41	878.45	0.097	11.07	11.05	11.08	0.009000000000000001	53.97	53.61	54.370000000000005	0.125	0.13	0	3.8000000000000003	0.5690000000000001
2021-11-19T06:15:00.000Z	878.51	878.44	878.59	0.092	11.07	11.06	11.08	0.004	53.94	53.56	54.29	0.123	0.15	0	3.31	0.625
2021-11-19T06:30:00.000Z	878.6	878.57	878.66	0	11.06	11.05	11.06	0.003	53.97	53.59	54.32	0.129	0.26	0	2.25	0.5650000000000001
2021-11-19T06:45:00.000Z	878.64	878.58	878.6800000000001	0	11.06	11.05	11.06	0.004	53.96	53.53	54.26	0.124	0.29	0	1.95	0.601
2021-11-19T07:00:00.000Z	878.7	878.66	878.73	0	11.07	11.06	11.08	0.007	53.95	53.6	54.28	0.117	0.19	0	2.75	0.5690000000000001
2021-11-19T07:15:00.000Z	878.77	878.7	878.88	0	11.07	11.07	11.08	0.005	53.93	53.53	54.370000000000005	0.13	0.27	0	3.3200000000000003	0.801
2021-11-19T07:30:00.000Z	878.88	878.84	878.9300000000001	0	11.07	11.06	11.07	0.005	53.910000000000004	53.44	54.26	0.129	0.1	0	3.44	0.491
2021-11-19T07:45:00.000Z	878.94	878.89	878.99	0.16	11.06	11.05	11.07	0.004	53.9	53.49	54.38	0.136	0.18	0	3.0300000000000002	0.612
2021-11-19T08:00:00.000Z	879.03	878.99	879.06	0.092	11.06	11.05	11.06	0.003	53.93	53.59	54.25	0.11900000000000001	0.14	0	2.73	0.496
2021-11-19T08:15:00.000Z	879.08	879.04	879.13	0.124	11.07	11.05	11.08	0.009000000000000001	53.97	53.67	54.32	0.116	0.27	0	4.14	0.853
2021-11-19T08:30:00.000Z	879.13	879.1	879.15	0.081	11.08	11.07	11.08	0.002	53.97	53.63	54.27	0.124	0.15	0	1.73	0.40900000000000003
2021-11-19T08:45:00.000Z	879.15	879.11	879.17	0	11.08	11.08	11.09	0.002	54.03	53.59	54.35	0.112	0.29	0	3.61	0.722
2021-11-19T09:00:00.000Z	879.11	879.06	879.16	0.117	11.1	11.08	11.120000000000001	0.009000000000000001	54.050000000000004	53.51	54.56	0.132	0.55	0	2.85	0.6900000000000001
2021-11-19T09:15:00.000Z	879.03	879.01	879.06	0.08700000000000001	11.13	11.120000000000001	11.14	0.006	54.07	53.57	54.56	0.138	0.13	0	3.87	0.524
2021-11-19T09:30:00.000Z	879	878.97	879.04	0.163	11.15	11.14	11.16	0.006	54.08	53.61	54.65	0.129	0.09	0	1.52	0.309
2021-11-19T09:45:00.000Z	878.99	878.96	879.01	0	11.16	11.16	11.17	0.001	54.09	53.620000000000005	54.56	0.14400000000000002	0.03	0	1.53	0.199
2021-11-19T10:00:00.000Z	878.96	878.94	878.99	0	11.18	11.16	11.21	0.013000000000000001	54.15	53.75	54.61	0.131	0.68	0	3.34	0.8240000000000001
2021-11-19T10:15:00.000Z	878.91	878.82	878.97	0	11.22	11.200000000000001	11.23	0.007	54.15	53.7	54.69	0.139	1.11	0	2.65	1.231
