time	p_mean	p_min	p_max	p_stddev	t_mean	t_min	t_max	t_stddev	h_mean	h_min	h_max	h_stddev	o_mean	o_min	o_max	o_stddev
2021-12-11T17:05:00.000Z	866.9300000000001	866.91	866.95	0	10.49	10.49	10.5	0.005	50.35	50.01	50.67	0.114	0.46	0	2.65	0.907
2021-12-11T17:10:00.000Z	866.96	866.94	866.98	0.153	10.49	10.48	10.49	0.005	50.33	49.96	50.56	0.10400000000000001	0.38	0	2.74	0.742
2021-12-11T17:15:00.000Z	866.95	866.94	866.97	0.187	10.48	10.47	10.48	0.005	50.370000000000005	50.14	50.64	0.098	0.8300000000000001	0	3.96	1.104
2021-12-11T17:20:00.000Z	867.03	866.97	867.08	0	10.48	10.47	10.49	0.007	50.4	50.19	50.61	0.084	0.49	0	2	0.663
2021-12-11T17:25:00.000Z	867.11	867.08	867.14	0	10.49	10.49	10.5	0.005	50.4	50.17	50.75	0.088	0.68	0	2.04	0.8200000000000001
2021-12-11T17:30:00.000Z	867.15	867.13	867.1800000000001	0	10.51	10.5	10.51	0.004	50.36	50.08	50.6	0.09	0.48	0	4.53	1.143
2021-12-11T17:35:00.000Z	867.17	867.17	867.19	0.042	10.52	10.52	10.52	0.001	50.34	50.07	50.69	0.108	0.18	0	1.68	0.396
2021-12-11T17:40:00.000Z	867.24	867.1800000000001	867.27	0.15	10.51	10.51	10.52	0.004	50.31	50.07	50.61	0.094	0.3	0	3.04	0.8220000000000001
2021-12-11T17:45:00.000Z	867.28	867.27	867.3	0	10.51	10.5	10.51	0.004	50.32	49.88	50.54	0.112	0.23	0	3.0500000000000003	0.551
2021-12-11T17:50:00.000Z	867.32	867.28	867.36	0	10.5	10.49	10.5	0.004	50.34	50.18	50.56	0.076	0.64	0	3.38	0.844
2021-12-11T17:55:00.000Z	867.37	867.35	867.41	0.028	10.49	10.49	10.5	0.002	50.35	50.160000000000004	50.69	0.085	0.54	0	5.2700000000000005	1.425
2021-12-11T18:00:00.000Z	867.47	867.41	867.51	0	10.5	10.49	10.5	0.004	50.370000000000005	50.230000000000004	50.550000000000004	0.066	0.34	0	1.69	0.537
2021-12-11T18:05:00.000Z	867.5	867.49	867.52	0	10.51	10.5	10.52	0.002	50.38	50.050000000000004	50.67	0.098	0.55	0	3.5500000000000003	0.976
2021-12-11T18:10:00.000Z	867.53	867.49	867.58	0	10.52	10.51	10.52	0.002	50.36	50.14	50.77	0.108	0.62	0	3.58	1.094
2021-12-11T18:15:00.000Z	867.57	867.56	867.59	0.1	10.52	10.52	10.52	0	50.300000000000004	50.08	50.550000000000004	0.097	0	0	0	0
2021-12-11T18:20:00.000Z	867.63	867.59	867.67	0.107	10.51	10.5	10.52	0.005	50.35	49.99	50.74	0.11800000000000001	0.43	0	4.32	0.93
2021-12-11T18:25:00.000Z	867.7	867.67	867.72	0.14100000000000001	10.49	10.49	10.5	0.003	50.35	49.93	50.59	0.113	0.6	0	4.99	1.171
2021-12-11T18:30:00.000Z	867.76	867.73	867.81	0.152	10.49	10.49	10.5	0.005	50.34	50.14	50.59	0.09	0.37	0	2.48	0.586
2021-12-11T18:35:00.000Z	867.81	867.8	867.83	0.176	10.5	10.49	10.51	0.006	50.370000000000005	50.08	50.6	0.091	0.81	0	4.8	1.237
2021-12-11T18:40:00.000Z	867.89	867.83	867.9300000000001	0	10.51	10.51	10.52	0.004	50.33	50.09	50.63	0.099	0.79	0	4.75	1.216
2021-12-11T18:45:00.000Z	867.98	867.9300000000001	868	0.154	10.53	10.52	10.53	0.004	50.300000000000004	49.9	50.57	0.112	0.49	0	2.54	0.762
2021-12-11T18:50:00.000Z	868.02	867.98	868.05	0.111	10.53	10.53	10.53	0	50.28	50	50.77	0.10400000000000001	0	0	0	0
2021-12-11T18:55:00.000Z	868.05	868.03	868.09	0.075	10.52	10.51	10.53	0.005	50.26	49.95	50.52	0.115	0.66	0	3.08	0.738
2021-12-11T19:00:00.000Z	868.07	868.02	868.11	0	10.5	10.5	10.51	0.004	50.29	50.04	50.550000000000004	0.096	0.61	0	3.45	0.711
2021-12-11T19:05:00.000Z	868.09	868.03	868.13	0.111	10.49	10.49	10.5	0.005	50.33	50.14	50.54	0.08600000000000001	0.42	0	2.61	0.6930000000000001
2021-12-11T19:10:00.000Z	868.16	868.1	868.2	0	10.49	10.48	10.49	0.004	50.33	50.04	50.65	0.114	0.63	0	4.23	1.27
2021-12-11T19:15:00.000Z	868.17	868.16	868.21	0.117	10.49	10.49	10.49	0.001	50.38	50.120000000000005	50.660000000000004	0.107	0.32	0	1.72	0.592
2021-12-11T19:20:00.000Z	868.25	868.21	868.29	0.114	10.49	10.49	10.5	0.001	50.36	50.120000000000005	50.75	0.105	0.22	0	2.2	0.406
2021-12-11T19:25:00.000Z	868.32	868.29	868.35	0	10.48	10.48	10.49	0.005	50.35	50.08	50.52	0.084	0.25	0	3.9	0.726
2021-12-11T19:30:00.000Z	868.36	868.33	868.38	0	10.47	10.47	10.48	0.003	50.35	49.99	50.59	0.11	0.33	0	4.3500000000000005	1.053
2021-12-11T19:35:00.000Z	868.35	868.33	868.39	0.122	10.47	10.46	10.47	0.004	50.39	49.99	50.76	0.116	0.87	0	3.39	0.903
2021-12-11T19:40:00.000Z	868.41	868.39	868.4300000000001	0	10.47	10.47	10.48	0.004	50.39	50.14	50.730000000000004	0.106	0.46	0	2.17	0.776
2021-12-11T19:45:00.000Z	868.45	868.4300000000001	868.49	0	10.48	10.48	10.49	0.004	50.36	50.03	50.77	0.092	0.36	0	2.21	0.655
2021-12-11T19:50:00.000Z	868.51	868.48	868.55	0.148	10.48	10.48	10.49	0.005	50.36	50.11	50.67	0.083	0.51	0	2.86	0.797
2021-12-11T19:55:00.000Z	868.56	868.55	868.58	0.14	10.49	10.48	10.49	0.004	50.36	50.08	50.6	0.098	0.26	0	2.17	0.451
2021-12-11T20:00:00.000Z	868.6	868.58	868.63	0	10.48	10.48	10.48	0	50.36	50.1	50.72	0.096	0.61	0	1.23	0.622
2021-12-11T20:05:00.000Z	868.64	868.62	868.69	0	10.47	10.46	10.48	0.005	50.35	50.13	50.58	0.081	0.53	0	4.3500000000000005	1.067
2021-12-11T20:10:00.000Z	868.73	868.69	868.75	0.182	10.46	10.450000000000001	10.46	0.004	50.33	50.07	50.61	0.10400000000000001	0.44	0	3.1	0.869
2021-12-11T20:15:00.000Z	868.75	868.74	868.79	0	10.46	10.450000000000001	10.47	0.007	50.38	50.08	50.730000000000004	0.109	0.97	0	4.57	1.262
2021-12-11T20:20:00.000Z	868.83	868.79	868.87	0	10.48	10.47	10.49	0.007	50.35	49.99	50.58	0.091	0.63	0	3.0300000000000002	0.861
2021-12-11T20:25:00.000Z	868.9	868.86	868.96	0.165	10.5	10.49	10.51	0.006	50.36	50.08	50.57	0.094	0.98	0	2.72	1.084
2021-12-11T20:30:00.000Z	868.98	868.96	868.99	0	10.53	10.51	10.540000000000001	0.01	50.300000000000004	50.09	50.61	0.105	1.27	0	3.0500000000000003	1
2021-12-11T20:35:00.000Z	868.99	868.94	869.03	0	10.57	10.55	10.59	0.013000000000000001	50.26	49.99	50.49	0.096	1.47	0	3.11	0.99
2021-12-11T20:40:00.000Z	869.04	869.03	869.07	0	10.61	10.59	10.63	0.012	50.18	49.92	50.39	0.107	1.1500000000000001	0	2.89	0.96
2021-12-11T20:45:00.000Z	869.1	869.07	869.13	0.14200000000000002	10.64	10.63	10.64	0.005	50.120000000000005	49.81	50.36	0.101	0.38	0	3.9	0.862
2021-12-11T20:50:00.000Z	869.13	869.12	869.13	0.117	10.63	10.61	10.64	0.009000000000000001	50.09	49.76	50.32	0.097	0.56	0	2.5500000000000003	0.856
