time	p_mean	p_min	p_max	p_stddev	t_mean	t_min	t_max	t_stddev	h_mean	h_min	h_max	h_stddev	o_mean	o_min	o_max	o_stddev
2020-02-18T14:00:00.000Z	873.96	873.27	874.78	0.42	18.38	9.26	20.12	2.218	21.43	19.67	48.13	2.641	100	100	100	0
2020-02-18T17:00:00.000Z	872.91	872.61	873.3	0.165	20.71	20.12	21.02	0.253	20.32	19.61	21.21	0.325	97.9	78.47	100	2.361
2020-02-19T11:00:00.000Z	868.23	867.94	868.77	0.256	20.01	19.75	20.48	0.135	29.080000000000002	28.51	44.36	0.41500000000000004	50.39	9.19	100	5.453
2020-02-19T14:00:00.000Z	868.05	867.41	868.48	0.266	20	19.94	20.1	0.023	28.92	28.43	29.38	0.159	50.45	41.08	60.300000000000004	2.233
2020-02-19T17:00:00.000Z	869.24	868.09	870.49	0.6970000000000001	20	19.92	20.080000000000002	0.022	29.28	28.67	29.86	0.114	49.94	42.17	57.18	2.108
2020-02-19T20:00:00.000Z	871.41	870.44	872.19	0.51	20	19.75	20.150000000000002	0.055	29.34	28.810000000000002	30.32	0.179	48.67	37.08	68.8	2.726
2020-02-19T23:00:00.000Z	872.13	871.9	872.36	0.17300000000000001	20	19.89	20.080000000000002	0.03	29.27	28.7	30.16	0.127	47.97	39.62	65.13	2.332
2020-02-20T02:00:00.000Z	872.06	871.85	872.35	0.183	20	19.92	20.06	0.025	30.740000000000002	29.240000000000002	32.04	0.674	45.72	39.07	54.160000000000004	2.229
2020-02-20T05:00:00.000Z	871.53	871.23	871.91	0	20	19.96	20.04	0.015	32.26	31.330000000000002	32.8	0.266	43.7	37.47	51.9	2.094
2020-02-20T08:00:00.000Z	871.54	871.2	871.94	0.187	20	19.86	20.14	0.039	31.400000000000002	29.23	33.13	0.9580000000000001	42.9	32.38	51.97	2.337
2020-02-20T11:00:00.000Z	871.58	871.26	871.87	0.20600000000000002	19.87	14.66	21.54	0.887	27.76	22.53	29.97	1.068	45.160000000000004	18.05	100	13.784
2020-02-20T14:00:00.000Z	870	869.06	871.29	0.653	20	19.93	20.09	0.025	28.93	27.87	29.75	0.497	38.050000000000004	28.84	45.08	2.132
2020-02-20T17:00:00.000Z	869.01	868.75	869.21	0.17	20	19.95	20.07	0.017	29.52	29	30.64	0.269	40.08	31.970000000000002	52.300000000000004	2.616
2020-02-20T20:00:00.000Z	868.8	868.38	869.13	0.23	20	19.93	20.04	0.018000000000000002	30.59	30.17	31.21	0.12	42.42	34.83	51.300000000000004	2.4010000000000002
2020-02-20T23:00:00.000Z	868.95	868.39	869.95	0.517	20	19.88	20.17	0.032	30.52	30.1	31.16	0.199	42.02	28.92	50.17	2.553
2020-02-21T02:00:00.000Z	869.91	869.14	870.36	0.224	20	19.96	20.04	0.014	31.36	30.76	32.17	0.2	40.68	33.47	49.64	2.3770000000000002
2020-02-21T05:00:00.000Z	870.91	870.14	871.77	0.47300000000000003	20	19.97	20.03	0.013000000000000001	33.08	31.85	33.89	0.41600000000000004	38.36	29.68	46.85	2.396
2020-02-21T08:00:00.000Z	872.84	871.72	873.97	0.684	19.96	16.79	21.7	0.586	32.38	25.3	34.800000000000004	2.008	41.2	11.56	100	13.099
2020-02-21T11:00:00.000Z	875.02	873.92	875.55	0.425	20	19.94	20.080000000000002	0.029	30.85	30.26	31.39	0.20700000000000002	37.79	26.53	47.85	3.263
2020-02-21T14:00:00.000Z	875.16	874.87	875.44	0.121	20	19.93	20.080000000000002	0.026000000000000002	31.39	30.72	33.13	0.589	35.72	27.27	44.550000000000004	2.701
2020-02-21T17:00:00.000Z	875.24	874.86	875.88	0.195	20	19.95	20.04	0.015	32.65	32.12	33.06	0.147	39	31.27	46.550000000000004	2.61
2020-02-21T20:00:00.000Z	876.15	875.82	876.62	0.177	20	19.93	20.07	0.027	32.67	31.990000000000002	33.910000000000004	0.261	41.9	34.25	51.22	2.419
2020-02-21T23:00:00.000Z	876.69	876.47	877.01	0.097	20	19.900000000000002	20.080000000000002	0.03	33.56	32.730000000000004	34.47	0.322	42.39	32.83	51.32	2.711
2020-02-22T02:00:00.000Z	876.86	876.52	877.2	0.20800000000000002	20	19.96	20.05	0.016	35.51	33.97	36.43	0.63	37.88	28.330000000000002	46.29	2.465
2020-02-22T05:00:00.000Z	876.53	876.3	876.75	0.19	20	19.92	20.06	0.023	35.99	35.230000000000004	36.7	0.254	38.77	26.400000000000002	59.5	2.715
2020-02-22T08:00:00.000Z	877.19	876.55	877.89	0.437	20	19.89	20.1	0.027	36.15	35.25	36.910000000000004	0.378	34.86	15.64	59.99	3.9
2020-02-22T11:00:00.000Z	878.02	877.63	878.36	0.262	20	19.78	20.3	0.081	32.730000000000004	28.400000000000002	35.82	1.145	31.150000000000002	18.080000000000002	54.730000000000004	5.017
2020-02-22T14:00:00.000Z	877.13	876.45	877.83	0.342	20	19.96	20.06	0.016	32.71	32.17	33.22	0.179	33.17	25.12	41.24	2.516
2020-02-22T17:00:00.000Z	876.23	875.62	876.75	0.315	20	19.95	20.04	0.016	33.43	32.55	33.99	0.148	34.77	25.63	47.09	2.441
2020-02-22T20:00:00.000Z	877.36	876.56	878.01	0.363	20	19.900000000000002	20.080000000000002	0.028	33.51	33.05	34.160000000000004	0.15	36.44	26.650000000000002	51.480000000000004	2.629
2020-02-22T23:00:00.000Z	877.86	877.19	878.32	0.247	20	19.94	20.05	0.017	33.13	32.33	33.88	0.137	38.02	30.27	47.64	2.39
2020-02-23T02:00:00.000Z	876.85	876.07	877.25	0.28600000000000003	20	19.96	20.03	0.015	33.09	32.74	33.77	0.111	38.5	29.11	47.300000000000004	2.2640000000000002
2020-02-23T05:00:00.000Z	875.6	875.21	876.12	0.23	20	19.97	20.04	0.013000000000000001	33.38	32.95	33.79	0.113	38.13	29.04	45.56	2.37
2020-02-23T08:00:00.000Z	875.92	875.51	876.25	0.275	20	19.96	20.05	0.017	33.49	33.13	33.84	0.106	36.550000000000004	26.01	47.57	2.721
2020-02-23T11:00:00.000Z	876.14	875.65	876.39	0	12.73	9.53	20.04	3.382	32.410000000000004	25.7	35.26	2.386	4.34	0	43.29	11.508000000000001
2020-02-23T14:00:00.000Z	874.28	873	875.69	0.762	13.540000000000001	13.1	13.68	0.153	35.35	34.58	36.03	0.315	0	0	0	0
2020-02-23T17:00:00.000Z	872.88	872.56	873.23	0.152	13.58	13.450000000000001	13.67	0.058	36.25	35.7	36.76	0.221	0	0	0	0
2020-02-23T20:00:00.000Z	872.91	872.44	873.14	0.112	13.3	13.13	13.47	0.093	36.800000000000004	36.37	37.17	0.129	0	0	0	0
2020-02-23T23:00:00.000Z	872.55	872.33	872.78	0	13	12.84	13.15	0.08700000000000001	37.02	36.75	37.34	0.07100000000000001	0	0	0	0
2020-02-24T02:00:00.000Z	872.89	872.48	873.25	0.242	12.69	12.540000000000001	12.85	0.09	36.99	36.64	37.300000000000004	0.074	0	0	0	0
2020-02-24T05:00:00.000Z	872.26	871.9300000000001	872.63	0.145	12.42	12.280000000000001	12.55	0.073	36.88	36.57	37.19	0.089	0	0	0	0
2020-02-24T08:00:00.000Z	872.69	872.27	873.06	0.212	12.17	12.09	12.290000000000001	0.061	36.730000000000004	36.37	37.08	0.091	0	0	0	0
2020-02-24T11:00:00.000Z	872.7	871.88	873.14	0.366	12.19	12.1	12.25	0.044	36.7	36.43	36.94	0.077	0	0	0	0
2020-02-24T14:00:00.000Z	870.39	868.91	871.91	0.893	12.23	12.19	12.26	0.015	36.69	36.37	36.96	0.075	0	0	0	0
2020-02-24T17:00:00.000Z	867.63	866.71	868.95	0.659	12.14	12.040000000000001	12.21	0.042	36.83	36.47	37.14	0.109	0	0	0	0
2020-02-24T20:00:00.000Z	866.6	866.3	866.88	0.155	11.94	11.8	12.06	0.067	37.03	36.7	37.38	0.083	0	0	0	0
2020-02-24T23:00:00.000Z	865.34	864.47	866.33	0.5650000000000001	11.68	11.55	11.82	0.07200000000000001	36.99	36.69	37.37	0.097	0	0	0	0
2020-02-25T02:00:00.000Z	863.33	861.89	864.52	0.743	11.43	11.290000000000001	11.56	0.075	36.79	36.49	37.11	0.08600000000000001	0	0	0	0
2020-02-25T05:00:00.000Z	860.76	860.09	861.92	0.488	11.17	11.040000000000001	11.31	0.073	36.59	36.300000000000004	36.910000000000004	0.091	0	0	0	0
2020-02-25T08:00:00.000Z	859.53	859.05	860.14	0.20600000000000002	10.94	10.84	11.05	0.059000000000000004	36.38	36.03	36.71	0.1	0	0	0	0
