time	p_mean	p_min	p_max	p_stddev	t_mean	t_min	t_max	t_stddev	h_mean	h_min	h_max	h_stddev	o_mean	o_min	o_max	o_stddev
2020-02-19T23:00:00.000Z	869.97	867.41	872.36	1.722	20	19.75	20.48	0.057	29.19	28.43	44.36	0.255	49.39	9.19	100	3.065
2020-02-20T23:00:00.000Z	870.4300000000001	868.38	872.35	1.342	19.98	14.66	21.54	0.318	30.21	22.53	33.13	1.467	42.51	18.05	100	5.848
2020-02-21T23:00:00.000Z	873.99	869.14	877.01	2.353	20	16.79	21.7	0.209	32.24	25.3	34.800000000000004	1.177	39.63	11.56	100	5.679
2020-02-22T23:00:00.000Z	877.15	875.62	878.36	0.658	20	19.78	20.3	0.035	34.15	28.400000000000002	36.910000000000004	1.469	35.63	15.64	59.99	3.992
2020-02-23T23:00:00.000Z	874.64	872.33	877.25	1.624	15.77	9.53	20.05	3.5	34.72	25.7	37.34	1.922	14.69	0	47.57	18.423000000000002
2020-02-24T23:00:00.000Z	870.06	864.47	873.25	2.936	12.18	11.55	12.85	0.28700000000000003	36.85	36.37	37.38	0.157	0	0	0	0
2020-02-25T23:00:00.000Z	857.49	851.23	864.52	3.525	10.83	10.11	11.56	0.35000000000000003	36.11	35.300000000000004	37.11	0.41300000000000003	0	0	0	0
2020-02-26T23:00:00.000Z	852.66	850.04	857.73	2.431	9.41	8.84	10.14	0.363	35.57	34.47	36.13	0.34500000000000003	0.25	0	13.68	0.895
2020-02-27T23:00:00.000Z	855.74	850.41	859.16	2.754	8.42	7.9	8.89	0.249	34.83	34.17	35.53	0.248	0.9500000000000001	0	20.21	1.7550000000000001
2020-02-28T23:00:00.000Z	865.06	857	867.9300000000001	2.946	7.78	7.47	8.06	0.177	34.78	34.05	35.38	0.248	1.25	0	27.61	1.956
2020-02-29T23:00:00.000Z	859.94	856.65	865.07	2.505	7.5	7.37	7.72	0.08700000000000001	34.87	34.300000000000004	35.35	0.167	1.34	0	18.080000000000002	1.961
