time	p_mean	p_min	p_max	p_stddev	t_mean	t_min	t_max	t_stddev	h_mean	h_min	h_max	h_stddev	o_mean	o_min	o_max	o_stddev
2020-04-13T08:32:24.000Z	864.66	864.66	864.66	0	16.14	16.14	16.14	0	23.3	23.3	23.3	0	0	0	0	0
2020-04-13T08:32:26.000Z	864.65	864.65	864.65	0	16.14	16.14	16.14	0	23.27	23.27	23.27	0	0	0	0	0
2020-04-13T08:32:28.000Z	864.65	864.65	864.65	0	16.14	16.14	16.14	0	23.27	23.27	23.27	0	0	0	0	0
2020-04-13T08:32:30.000Z	864.65	864.65	864.65	0	16.14	16.14	16.14	0	23.3	23.3	23.3	0	0	0	0	0
2020-04-13T08:32:32.000Z	864.64	864.64	864.64	0	16.13	16.13	16.13	0	23.28	23.28	23.28	0	0	0	0	0
2020-04-13T08:32:34.000Z	864.64	864.64	864.64	0	16.14	16.14	16.14	0	23.29	23.29	23.29	0	0	0	0	0
2020-04-13T08:32:36.000Z	864.65	864.65	864.65	0	16.14	16.14	16.14	0	23.25	23.25	23.25	0	0	0	0	0
2020-04-13T08:32:38.000Z	864.65	864.65	864.65	0	16.14	16.14	16.14	0	23.28	23.28	23.28	0	0	0	0	0
2020-04-13T08:32:40.000Z	864.65	864.65	864.65	0	16.14	16.14	16.14	0	23.28	23.28	23.28	0	0	0	0	0
2020-04-13T08:32:42.000Z	864.66	864.66	864.66	0	16.14	16.14	16.14	0	23.27	23.27	23.27	0	0	0	0	0
2020-04-13T08:32:44.000Z	864.67	864.67	864.67	0	16.14	16.14	16.14	0	23.28	23.28	23.28	0	0	0	0	0
2020-04-13T08:32:46.000Z	864.66	864.66	864.66	0	16.14	16.14	16.14	0	23.29	23.29	23.29	0	0	0	0	0
2020-04-13T08:32:48.000Z	864.67	864.67	864.67	0	16.14	16.14	16.14	0	23.29	23.29	23.29	0	0	0	0	0
2020-04-13T08:32:50.000Z	864.67	864.67	864.67	0	16.14	16.14	16.14	0	23.3	23.3	23.3	0	0	0	0	0
2020-04-13T08:32:52.000Z	864.67	864.67	864.67	0	16.15	16.15	16.15	0	23.3	23.3	23.3	0	0	0	0	0
2020-04-13T08:32:54.000Z	864.66	864.66	864.66	0	16.14	16.14	16.14	0	23.29	23.29	23.29	0	0	0	0	0
2020-04-13T08:32:56.000Z	864.65	864.65	864.65	0	16.14	16.14	16.14	0	23.25	23.25	23.25	0	0	0	0	0
2020-04-13T08:32:58.000Z	864.65	864.65	864.65	0	16.14	16.14	16.14	0	23.27	23.27	23.27	0	0	0	0	0
2020-04-13T08:33:00.000Z	864.65	864.65	864.65	0	16.14	16.14	16.14	0	23.26	23.26	23.26	0	0	0	0	0
2020-04-13T08:33:02.000Z	864.66	864.66	864.66	0	16.14	16.14	16.14	0	23.240000000000002	23.240000000000002	23.240000000000002	0	0	0	0	0
2020-04-13T08:33:04.000Z	864.65	864.65	864.65	0	16.15	16.15	16.15	0	23.29	23.29	23.29	0	0	0	0	0
2020-04-13T08:33:06.000Z	864.65	864.65	864.65	0	16.14	16.14	16.14	0	23.34	23.34	23.34	0	0	0	0	0
2020-04-13T08:33:08.000Z	864.65	864.65	864.65	0	16.15	16.15	16.15	0	23.31	23.31	23.31	0	0	0	0	0
2020-04-13T08:33:10.000Z	864.64	864.64	864.64	0	16.14	16.14	16.14	0	23.27	23.27	23.27	0	0	0	0	0
2020-04-13T08:33:12.000Z	864.63	864.63	864.63	0	16.15	16.15	16.15	0	23.25	23.25	23.25	0	0	0	0	0
2020-04-13T08:33:14.000Z	864.64	864.64	864.64	0	16.15	16.15	16.15	0	23.25	23.25	23.25	0	0	0	0	0
2020-04-13T08:33:16.000Z	864.63	864.63	864.63	0	16.14	16.14	16.14	0	23.25	23.25	23.25	0	0	0	0	0
2020-04-13T08:33:18.000Z	864.63	864.63	864.63	0	16.14	16.14	16.14	0	23.31	23.31	23.31	0	0	0	0	0
2020-04-13T08:33:20.000Z	864.64	864.64	864.64	0	16.15	16.15	16.15	0	23.32	23.32	23.32	0	0	0	0	0
2020-04-13T08:33:22.000Z	864.64	864.64	864.64	0	16.14	16.14	16.14	0	23.26	23.26	23.26	0	0	0	0	0
2020-04-13T08:33:24.000Z	864.67	864.67	864.67	0	16.15	16.15	16.15	0	23.240000000000002	23.240000000000002	23.240000000000002	0	0	0	0	0
2020-04-13T08:33:26.000Z	864.66	864.66	864.66	0	16.15	16.15	16.15	0	23.29	23.29	23.29	0	0	0	0	0
2020-04-13T08:33:28.000Z	864.66	864.66	864.66	0	16.14	16.14	16.14	0	23.3	23.3	23.3	0	0	0	0	0
2020-04-13T08:33:30.000Z	864.65	864.65	864.65	0	16.14	16.14	16.14	0	23.3	23.3	23.3	0	0	0	0	0
2020-04-13T08:33:32.000Z	864.66	864.66	864.66	0	16.15	16.15	16.15	0	23.240000000000002	23.240000000000002	23.240000000000002	0	0	0	0	0
2020-04-13T08:33:34.000Z	864.66	864.66	864.66	0	16.14	16.14	16.14	0	23.29	23.29	23.29	0	0	0	0	0
2020-04-13T08:33:36.000Z	864.66	864.66	864.66	0	16.15	16.15	16.15	0	23.29	23.29	23.29	0	0	0	0	0
2020-04-13T08:33:38.000Z	864.66	864.66	864.66	0	16.14	16.14	16.14	0	23.29	23.29	23.29	0	0	0	0	0
2020-04-13T08:33:40.000Z	864.66	864.66	864.66	0	16.14	16.14	16.14	0	23.26	23.26	23.26	0	0	0	0	0
2020-04-13T08:33:42.000Z	864.66	864.66	864.66	0	16.14	16.14	16.14	0	23.25	23.25	23.25	0	0	0	0	0
2020-04-13T08:33:44.000Z	864.66	864.66	864.66	0	16.14	16.14	16.14	0	23.25	23.25	23.25	0	0	0	0	0
2020-04-13T08:33:46.000Z	864.66	864.66	864.66	0	16.14	16.14	16.14	0	23.27	23.27	23.27	0	0	0	0	0
2020-04-13T08:33:48.000Z	864.66	864.66	864.66	0	16.14	16.14	16.14	0	23.29	23.29	23.29	0	0	0	0	0
2020-04-13T08:33:50.000Z	864.66	864.66	864.66	0	16.15	16.15	16.15	0	23.3	23.3	23.3	0	0	0	0	0
2020-04-13T08:33:52.000Z	864.66	864.66	864.66	0	16.15	16.15	16.15	0	23.29	23.29	23.29	0	0	0	0	0
2020-04-13T08:33:54.000Z	864.65	864.65	864.65	0	16.14	16.14	16.14	0	23.26	23.26	23.26	0	0	0	0	0
2020-04-13T08:33:56.000Z	864.65	864.65	864.65	0	16.14	16.14	16.14	0	23.27	23.27	23.27	0	0	0	0	0
2020-04-13T08:33:58.000Z	864.65	864.65	864.65	0	16.15	16.15	16.15	0	23.23	23.23	23.23	0	0	0	0	0
2020-04-13T08:34:00.000Z	864.65	864.65	864.65	0	16.15	16.15	16.15	0	23.28	23.28	23.28	0	0	0	0	0
2020-04-13T08:34:02.000Z	864.65	864.65	864.65	0	16.15	16.15	16.15	0	23.27	23.27	23.27	0	0	0	0	0
2020-04-13T08:34:04.000Z	864.65	864.65	864.65	0	16.15	16.15	16.15	0	23.27	23.27	23.27	0	0	0	0	0
2020-04-13T08:34:06.000Z	864.65	864.65	864.65	0	16.15	16.15	16.15	0	23.25	23.25	23.25	0	0	0	0	0
2020-04-13T08:34:08.000Z	864.65	864.65	864.65	0	16.15	16.15	16.15	0	23.240000000000002	23.240000000000002	23.240000000000002	0	0	0	0	0
2020-04-13T08:34:10.000Z	864.65	864.65	864.65	0	16.14	16.14	16.14	0	23.26	23.26	23.26	0	0	0	0	0
2020-04-13T08:34:12.000Z	864.65	864.65	864.65	0	16.14	16.14	16.14	0	23.28	23.28	23.28	0	0	0	0	0
2020-04-13T08:34:14.000Z	864.65	864.65	864.65	0	16.15	16.15	16.15	0	23.27	23.27	23.27	0	0	0	0	0
2020-04-13T08:34:16.000Z	864.66	864.66	864.66	0	16.14	16.14	16.14	0	23.26	23.26	23.26	0	0	0	0	0
2020-04-13T08:34:18.000Z	864.66	864.66	864.66	0	16.14	16.14	16.14	0	23.240000000000002	23.240000000000002	23.240000000000002	0	0	0	0	0
2020-04-13T08:34:20.000Z	864.65	864.65	864.65	0	16.15	16.15	16.15	0	23.26	23.26	23.26	0	0	0	0	0
2020-04-13T08:34:22.000Z	864.64	864.64	864.64	0	16.14	16.14	16.14	0	23.28	23.28	23.28	0	0	0	0	0
2020-04-13T08:34:24.000Z	864.65	864.65	864.65	0	16.14	16.14	16.14	0	23.28	23.28	23.28	0	0	0	0	0
2020-04-13T08:34:26.000Z	864.64	864.64	864.64	0	16.14	16.14	16.14	0	23.28	23.28	23.28	0	0	0	0	0
2020-04-13T08:34:28.000Z	864.63	864.63	864.63	0	16.14	16.14	16.14	0	23.29	23.29	23.29	0	0	0	0	0
2020-04-13T08:34:30.000Z	864.63	864.63	864.63	0	16.15	16.15	16.15	0	23.26	23.26	23.26	0	0	0	0	0
2020-04-13T08:34:32.000Z	864.63	864.63	864.63	0	16.15	16.15	16.15	0	23.25	23.25	23.25	0	0	0	0	0
2020-04-13T08:34:34.000Z	864.64	864.64	864.64	0	16.14	16.14	16.14	0	23.26	23.26	23.26	0	0	0	0	0
2020-04-13T08:34:36.000Z	864.64	864.64	864.64	0	16.14	16.14	16.14	0	23.240000000000002	23.240000000000002	23.240000000000002	0	0	0	0	0
2020-04-13T08:34:38.000Z	864.64	864.64	864.64	0	16.14	16.14	16.14	0	23.26	23.26	23.26	0	0	0	0	0
2020-04-13T08:34:40.000Z	864.65	864.65	864.65	0	16.14	16.14	16.14	0	23.21	23.21	23.21	0	0	0	0	0
2020-04-13T08:34:42.000Z	864.64	864.64	864.64	0	16.14	16.14	16.14	0	23.25	23.25	23.25	0	0	0	0	0
2020-04-13T08:34:44.000Z	864.64	864.64	864.64	0	16.14	16.14	16.14	0	23.25	23.25	23.25	0	0	0	0	0
2020-04-13T08:34:46.000Z	864.64	864.64	864.64	0	16.14	16.14	16.14	0	23.28	23.28	23.28	0	0	0	0	0
2020-04-13T08:34:48.000Z	864.64	864.64	864.64	0	16.13	16.13	16.13	0	23.28	23.28	23.28	0	0	0	0	0
2020-04-13T08:34:50.000Z	864.63	864.63	864.63	0	16.13	16.13	16.13	0	23.29	23.29	23.29	0	0	0	0	0
