time	p_mean	p_min	p_max	p_stddev	t_mean	t_min	t_max	t_stddev	h_mean	h_min	h_max	h_stddev	o_mean	o_min	o_max	o_stddev
2020-03-14T09:45:00.000Z	865.2	865.15	865.26	0	13.91	13.870000000000001	13.950000000000001	0.018000000000000002	23.490000000000002	23.39	23.61	0.041	0	0	0	0
2020-03-14T10:00:00.000Z	865.23	865.1800000000001	865.28	0	13.93	13.88	13.96	0.018000000000000002	23.46	23.31	23.6	0.044	0	0	0	0
2020-03-14T10:15:00.000Z	865.25	865.2	865.31	0	13.84	13.82	13.89	0.017	23.6	23.47	23.69	0.038	0	0	0	0
2020-03-14T10:30:00.000Z	865.33	865.28	865.36	0.054	13.89	13.85	13.92	0.013000000000000001	23.54	23.46	23.650000000000002	0.034	0	0	0	0
2020-03-14T10:45:00.000Z	865.36	865.31	865.42	0.11800000000000001	13.91	13.88	13.950000000000001	0.014	23.51	23.43	23.61	0.035	0	0	0	0
2020-03-14T11:00:00.000Z	865.4300000000001	865.38	865.46	0	13.96	13.92	14	0.022	23.45	23.32	23.57	0.046	0	0	0	0
2020-03-14T11:15:00.000Z	865.41	865.37	865.45	0	13.93	13.91	13.96	0.011	23.5	23.38	23.61	0.038	0	0	0	0
2020-03-14T11:30:00.000Z	865.41	865.32	865.48	0	13.97	13.92	14	0.017	23.46	23.37	23.59	0.034	0	0	0	0
2020-03-14T11:45:00.000Z	865.36	865.3	865.4300000000001	0.178	13.97	13.94	14	0.016	23.48	23.36	23.6	0.038	0	0	0	0
2020-03-14T12:00:00.000Z	865.34	865.28	865.41	0	13.94	13.91	13.97	0.015	23.51	23.37	23.62	0.033	0	0	0	0
2020-03-14T12:15:00.000Z	865.32	865.28	865.36	0.109	13.92	13.85	13.97	0.03	23.53	23.36	23.7	0.048	0	0	0	0
2020-03-14T12:30:00.000Z	865.22	865.1	865.35	0.122	13.83	13.8	13.870000000000001	0.015	23.63	23.490000000000002	23.740000000000002	0.034	0	0	0	0
