time	p_mean	p_min	p_max	p_stddev	t_mean	t_min	t_max	t_stddev	h_mean	h_min	h_max	h_stddev	o_mean	o_min	o_max	o_stddev
2020-04-06T09:35:00.000Z	872.64	872.58	872.6800000000001	0	15	14.98	15.02	0.012	21.84	21.69	22	0.053	0	0	0	0
2020-04-06T09:40:00.000Z	872.6	872.56	872.63	0.026000000000000002	15.030000000000001	15.01	15.05	0.008	21.82	21.67	21.95	0.044	0	0	0	0
2020-04-06T09:45:00.000Z	872.56	872.49	872.6	0	15.02	15.01	15.040000000000001	0.009000000000000001	21.82	21.71	21.94	0.048	0	0	0	0
2020-04-06T09:50:00.000Z	872.53	872.5	872.57	0	14.99	14.97	15.01	0.012	21.830000000000002	21.69	21.95	0.046	0	0	0	0
2020-04-06T09:55:00.000Z	872.49	872.4300000000001	872.54	0.041	14.93	14.89	14.98	0.024	21.89	21.69	22.05	0.063	0	0	0	0
2020-04-06T10:00:00.000Z	872.41	872.37	872.47	0	14.88	14.86	14.9	0.011	21.94	21.830000000000002	22.04	0.053	0	0	0	0
2020-04-06T10:05:00.000Z	872.37	872.33	872.4	0.158	14.85	14.83	14.86	0.008	21.98	21.85	22.1	0.056	0	0	0	0
2020-04-06T10:10:00.000Z	872.32	872.28	872.36	0.08600000000000001	14.82	14.81	14.84	0.005	22	21.87	22.14	0.057	0	0	0	0
2020-04-06T10:15:00.000Z	872.29	872.26	872.32	0	14.81	14.790000000000001	14.83	0.006	21.95	21.79	22.09	0.056	0	0	0	0
2020-04-06T10:20:00.000Z	872.28	872.26	872.31	0	14.82	14.790000000000001	14.84	0.015	21.98	21.830000000000002	22.13	0.061	0	0	0	0
2020-04-06T10:25:00.000Z	872.27	872.24	872.3	0.14400000000000002	14.870000000000001	14.84	14.89	0.016	21.900000000000002	21.77	22.01	0.054	0	0	0	0
2020-04-06T10:30:00.000Z	872.29	872.26	872.31	0	14.870000000000001	14.86	14.88	0.006	21.91	21.79	22.01	0.053	0	0	0	0
