time	p_mean	p_min	p_max	p_stddev	t_mean	t_min	t_max	t_stddev	h_mean	h_min	h_max	h_stddev	o_mean	o_min	o_max	o_stddev
2020-02-19T20:00:00.000Z	870.35	869.33	871.09	0.42	21.240000000000002	20.84	21.990000000000002	0.203	28.68	26.900000000000002	41.52	1.2710000000000001	0	0	0	0
2020-02-19T23:00:00.000Z	871.04	870.83	871.28	0.109	21.63	21.39	21.900000000000002	0.111	27.48	26.53	28.14	0.385	0	0	0	0
2020-02-20T02:00:00.000Z	870.95	870.7	871.25	0.181	21.17	20.82	21.54	0.165	26.52	26.13	27.07	0.171	0	0	0	0
2020-02-20T05:00:00.000Z	870.41	870.09	870.8	0.188	20.81	20.62	21.080000000000002	0.10400000000000001	26.12	25.810000000000002	26.54	0.14300000000000002	0	0	0	0
2020-02-20T08:00:00.000Z	870.39	870.08	870.79	0.23500000000000001	20.67	12.88	21.34	0.933	26.26	18.55	27.900000000000002	0.936	0	0	0	0
2020-02-20T11:00:00.000Z	870.4	870.07	870.71	0.146	20.89	17.400000000000002	21.27	0.49	24.53	22.88	25.46	0.592	0	0	0	0
2020-02-20T14:00:00.000Z	868.82	867.85	870.11	0.666	21.28	21.02	21.53	0.097	26.39	24.8	27.45	0.6890000000000001	0	0	0	0
2020-02-20T17:00:00.000Z	867.83	867.59	868.03	0.198	22.78	21.22	30.03	2.543	25.060000000000002	16.4	28.86	3.246	0	0	0	0
2020-02-20T20:00:00.000Z	867.63	867.23	867.9300000000001	0.2	21.37	20.75	21.69	0.136	28.52	25.310000000000002	29.330000000000002	0.423	0	0	0	0
2020-02-20T23:00:00.000Z	867.76	867.24	868.74	0.489	21.330000000000002	20.85	21.580000000000002	0.161	28.55	27.830000000000002	29.25	0.404	0	0	0	0
2020-02-21T02:00:00.000Z	868.74	867.9300000000001	869.1800000000001	0.292	20.72	20.37	21.13	0.17200000000000001	28.36	27.87	28.69	0.166	0	0	0	0
2020-02-21T05:00:00.000Z	869.73	868.98	870.59	0.459	20.29	20.07	20.53	0.111	28.01	27.62	28.54	0.17200000000000001	0	0	0	0
2020-02-21T08:00:00.000Z	871.66	870.51	872.78	0.674	20.13	19.52	20.650000000000002	0.186	28.39	27.57	30.17	0.796	0	0	0	0
2020-02-21T11:00:00.000Z	873.81	872.72	874.33	0.41200000000000003	20.6	20.22	20.95	0.158	28.73	28.02	29.72	0.423	0	0	0	0
2020-02-21T14:00:00.000Z	873.95	873.67	874.2	0	20.69	14.36	21.44	1.173	27.34	21.47	28.41	1.487	0	0	0	0
2020-02-21T17:00:00.000Z	874.03	873.64	874.67	0.25	22.12	18.87	29.560000000000002	2.351	25.26	16.73	28.900000000000002	2.94	0	0	0	0
2020-02-21T20:00:00.000Z	874.94	874.61	875.44	0.198	21.05	17.64	21.47	0.41200000000000003	29.05	22.03	30.91	0.979	0	0	0	0
2020-02-21T23:00:00.000Z	875.49	875.26	875.78	0.133	21.11	20.740000000000002	21.37	0.152	29.5	28.7	30.060000000000002	0.248	0	0	0	0
2020-02-22T02:00:00.000Z	875.64	875.3	876.01	0.183	20.580000000000002	20.28	20.91	0.145	29.150000000000002	28.650000000000002	29.650000000000002	0.2	0	0	0	0
2020-02-22T05:00:00.000Z	875.31	875.08	875.54	0.176	20.23	19.990000000000002	20.490000000000002	0.125	29.48	28.29	29.990000000000002	0.281	0	0	0	0
2020-02-22T08:00:00.000Z	875.95	875.31	876.64	0.40900000000000003	20.03	19.81	20.62	0.156	29	26.810000000000002	29.830000000000002	0.32	0	0	0	0
2020-02-22T11:00:00.000Z	876.76	876.38	877.1	0.167	20.89	17.400000000000002	21.59	0.9590000000000001	26.48	19.64	28.35	1.742	0	0	0	0
2020-02-22T14:00:00.000Z	875.86	875.2	876.55	0.394	21.27	20.330000000000002	21.52	0.155	26.580000000000002	20.64	27.41	0.578	0	0	0	0
2020-02-22T17:00:00.000Z	874.97	874.39	875.54	0.304	22.650000000000002	21.38	29	1.85	26.29	18.52	28.38	2.326	0	0	0	0
2020-02-22T20:00:00.000Z	876.11	875.3	876.78	0.428	21.81	20.1	22.240000000000002	0.20400000000000001	29.900000000000002	21.84	33.4	1.506	0	0	0	0
2020-02-22T23:00:00.000Z	876.59	875.97	877.05	0.314	21.68	21.3	22.32	0.181	29.59	29.1	31.48	0.209	0	0	0	0
2020-02-23T02:00:00.000Z	875.59	874.85	876.03	0.277	21.240000000000002	20.89	21.59	0.179	29.13	28.55	29.62	0.17	0	0	0	0
2020-02-23T05:00:00.000Z	874.33	873.95	874.86	0.157	20.830000000000002	20.59	21.06	0.106	28.79	28.330000000000002	29.45	0.20600000000000002	0	0	0	0
2020-02-23T08:00:00.000Z	874.63	874.2	874.97	0.194	20.75	20.53	21.29	0.154	28.61	27.740000000000002	29.19	0.169	0	0	0	0
2020-02-23T11:00:00.000Z	874.75	874.26	874.94	0.045	19.16	16.6	21.45	1.115	24.05	19.63	44.67	2.563	0	0	0	0
2020-02-23T14:00:00.000Z	872.9	871.59	874.32	0.764	19.18	19.12	19.240000000000002	0.022	25.830000000000002	25.04	26.29	0.281	0	0	0	0
2020-02-23T17:00:00.000Z	871.49	871.1800000000001	871.82	0.156	18.89	18.64	19.17	0.147	26.47	26.04	26.8	0.168	0	0	0	0
2020-02-23T20:00:00.000Z	871.51	871.04	871.75	0.212	18.34	18.02	18.66	0.178	26.73	26.51	26.95	0.061	0	0	0	0
2020-02-23T23:00:00.000Z	871.14	870.91	871.36	0.2	17.68	17.37	18.03	0.184	26.89	26.62	27.150000000000002	0.097	0	0	0	0
2020-02-24T02:00:00.000Z	871.47	871.06	871.82	0.232	17.080000000000002	16.79	17.37	0.163	27.060000000000002	26.900000000000002	27.22	0.042	0	0	0	0
2020-02-24T05:00:00.000Z	870.83	870.52	871.2	0.08	16.51	16.25	16.81	0.159	27.2	26.96	27.39	0.068	0	0	0	0
2020-02-24T08:00:00.000Z	871.26	870.83	871.66	0.186	16.05	15.82	16.36	0.11900000000000001	27.310000000000002	25.76	27.53	0.164	0	0	0	0
2020-02-24T11:00:00.000Z	871.25	870.45	871.71	0.301	16.740000000000002	16.35	16.93	0.128	26.91	26.68	27.16	0.077	0	0	0	0
2020-02-24T14:00:00.000Z	868.94	867.5	870.48	0.888	16.62	16.56	16.71	0.034	27.04	26.86	27.25	0.075	0	0	0	0
2020-02-24T17:00:00.000Z	866.23	865.29	867.54	0.682	16.73	16.59	16.85	0.077	27.17	26.95	27.400000000000002	0.089	0	0	0	0
2020-02-24T20:00:00.000Z	865.19	864.91	865.47	0.026000000000000002	16.35	16.080000000000002	16.61	0.151	27.310000000000002	27.13	27.46	0.039	0	0	0	0
2020-02-24T23:00:00.000Z	863.92	863.05	864.9300000000001	0.585	15.84	15.56	16.1	0.146	27.32	27.14	27.47	0.041	0	0	0	0
2020-02-25T02:00:00.000Z	861.87	860.43	863.08	0.721	15.3	15.030000000000001	15.58	0.156	27.44	27.21	27.61	0.045	0	0	0	0
2020-02-25T05:00:00.000Z	859.33	858.67	860.47	0.51	14.780000000000001	14.5	15.05	0.145	27.57	27.38	27.77	0.056	0	0	0	0
2020-02-25T08:00:00.000Z	858.1	857.61	858.7	0.234	14.39	14.24	14.61	0.091	27.580000000000002	27.38	27.79	0.06	0	0	0	0
2020-02-25T11:00:00.000Z	857.17	856.45	857.7	0.35100000000000003	14.18	14.09	14.32	0.044	27.51	27.310000000000002	27.71	0.067	0	0	0	0
2020-02-25T14:00:00.000Z	855.17	853.82	856.52	0.76	14.22	14.13	14.31	0.037	27.35	27.14	27.54	0.062	0	0	0	0
2020-02-25T17:00:00.000Z	853.27	852.77	853.86	0.305	14.15	13.950000000000001	14.280000000000001	0.07200000000000001	26.89	26.560000000000002	27.38	0.15	0	0	0	0
