time	p_mean	p_min	p_max	p_stddev	t_mean	t_min	t_max	t_stddev	h_mean	h_min	h_max	h_stddev	o_mean	o_min	o_max	o_stddev
2020-02-19T23:00:00.000Z	870.7	869.33	871.28	0.449	21.44	20.84	21.990000000000002	0.255	28.07	26.53	41.52	1.104	0	0	0	0
2020-02-20T23:00:00.000Z	869.27	867.23	871.25	1.36	21.29	12.88	30.03	1.156	26.490000000000002	16.4	29.330000000000002	1.841	0	0	0	0
2020-02-21T23:00:00.000Z	872.79	867.9300000000001	875.78	2.345	20.84	14.36	29.560000000000002	1.11	28.080000000000002	16.73	30.91	1.76	0	0	0	0
2020-02-22T23:00:00.000Z	875.9	874.39	877.1	0.64	21.14	17.400000000000002	29	1.117	28.310000000000002	18.52	33.4	1.8860000000000001	0	0	0	0
2020-02-23T23:00:00.000Z	872.31	870.91	874.94	1.35	18.64	16.6	21.45	0.758	26.03	19.63	44.67	1.496	0	0	0	0
2020-02-24T23:00:00.000Z	868.64	863.05	871.82	2.926	16.490000000000002	15.56	17.37	0.396	27.17	25.76	27.53	0.165	0	0	0	0
2020-02-25T23:00:00.000Z	856.06	849.8	863.08	3.524	14.33	13.57	15.58	0.47500000000000003	27.310000000000002	26.560000000000002	27.79	0.265	0	0	0	0
2020-02-26T23:00:00.000Z	851.22	848.61	856.24	2.415	13.870000000000001	13.55	14.11	0.1	25.25	23.34	27.13	0.9540000000000001	0	0	0	0
2020-02-27T23:00:00.000Z	854.22	848.89	857.64	2.7720000000000002	14.040000000000001	13.6	14.76	0.28	22.63	22.080000000000002	23.56	0.328	0	0	0	0
2020-02-28T23:00:00.000Z	863.47	855.46	866.33	2.926	14.15	13.49	14.790000000000001	0.432	21.650000000000002	20.87	22.400000000000002	0.367	0	0	0	0
2020-02-29T23:00:00.000Z	858.32	854.98	863.47	2.512	14.34	14.15	14.620000000000001	0.083	21.04	20.31	21.61	0.243	0	0	0	0
2020-03-01T23:00:00.000Z	851.39	848.11	855.34	2.4250000000000003	14.43	14.1	14.88	0.203	21.43	21.01	22.16	0.20400000000000001	0	0	0	0
2020-03-02T23:00:00.000Z	844.67	839.12	850.45	3.766	13.76	13.55	14.17	0.125	21.97	21.53	22.39	0.165	0	0	0	0
2020-03-03T23:00:01.000Z	850.71	843.77	856.35	3.174	13.71	13.43	14.1	0.166	21.76	20.77	22.42	0.427	0	0	0	0
2020-03-04T23:00:00.000Z	859.08	856.3	860.82	1.111	13.82	13.42	14.32	0.213	20.96	20.45	21.36	0.171	0	0	0	0
